Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2014/2014-01-05 10-01-24.jpg,"[8.969225888324877, 11.455266497461928, 11.400380710659897]",0.112139737,"[95.64831999999998, 88.66879999999998, 86.63775999999999]",0.112585779,"[133.42205252374742, 132.40286831812256, 126.27547029241944]",0.198398878,"[162.91076825194844, 162.48146969937963, 159.0553523142994]",0.22653797,"[181.84951106536286, 183.15131240349973, 180.81461657231085]",0.350337636
E:/Organized Photos/2014/2014-01-05 12-48-18.jpg,"[58.004778972520896, 60.832735961768215, 59.67025089605733]",0.065151474,"[190.63456790123456, 191.75061728395067, 189.62345679012344]",0.069303022,"[156.58231220031965, 157.39850825785825, 157.21683537559935]",0.159606832,"[129.96775053304904, 131.55996801705754, 132.87180170575692]",0.305923878,"[107.57162809257782, 106.94533120510775, 106.15822027134877]",0.400014793
E:/Organized Photos/2014/2014-01-05 12-49-02.jpg,"[208.85226179018287, 211.46583253128009, 212.39412897016362]",0.154365584,"[155.51300132216838, 157.1379462318202, 158.88320846187753]",0.173819364,"[58.282300526528964, 57.88699878493318, 59.452409882543556]",0.17896412,"[109.24653364896855, 107.96043287115319, 107.48833276969901]",0.227763961,"[14.826787228030513, 16.796270132805876, 15.887256287086748]",0.265086971
E:/Organized Photos/2014/2014-01-05 21-00-42.jpg,"[245.28942741637363, 232.4621655822705, 212.70197207073028]",0.029796983,"[198.9886121441598, 165.0664315646162, 130.38887098093412]",0.0700244,"[150.2375593665083, 112.95718678083516, 81.65400092266431]",0.127096174,"[106.38243718225658, 76.42725846338229, 52.214424555905104]",0.31714252,"[59.070141225243525, 42.42350927115782, 29.28875514715533]",0.455939923
E:/Organized Photos/2014/2014-01-05 21-00-46.jpg,"[230.03216899075093, 202.40673753969375, 173.6347507938698]",0.006062872,"[35.63548476199246, 23.530549131539228, 14.579981260527404]",0.077273214,"[72.65992608745339, 53.5953321694384, 41.20158537705935]",0.186725809,"[100.10820182747983, 73.36863609189966, 53.44444641884801]",0.331693214,"[125.91510542398333, 91.96292673177734, 65.62536381661631]",0.398244891
E:/Organized Photos/2014/2014-01-05 21-00-48.jpg,"[36.22865610215663, 23.61305614381705, 14.686059833294902]",0.059434272,"[75.58510874442109, 55.55364724773896, 42.13161499043631]",0.15935415,"[134.5027282569913, 98.96625307069897, 71.39752067979835]",0.173150426,"[96.2263177694923, 70.40878158177564, 51.78317553685556]",0.259960362,"[116.67992825670277, 84.4800396845181, 60.74130285083233]",0.348100791
E:/Organized Photos/2014/2014-01-05 21-00-52.jpg,"[67.62289156626507, 48.420481927710846, 31.821686746987968]",0.065054481,"[23.51222765673633, 16.022232103156963, 10.020898176967542]",0.18353205,"[102.86024969794605, 75.98993153443416, 57.43294401933146]",0.194459212,"[130.9632459970888, 101.46397379912666, 75.01673944687046]",0.229938605,"[117.61840120663649, 88.66566113624937, 67.8310708898944]",0.327015651
E:/Organized Photos/2014/2014-01-05 21-01-02.jpg,"[131.92300962379704, 101.14173228346456, 63.129483814523184]",0.094198045,"[57.12061295106278, 41.74196737518536, 25.177459218981706]",0.165101889,"[28.546856922483602, 19.640570767450825, 10.599305823370614]",0.202282976,"[79.29093851132686, 59.45307443365696, 39.66181229773463]",0.258287578,"[101.51817388775807, 75.73335271881359, 49.77377144518756]",0.280129512
E:/Organized Photos/2014/2014-01-06 21-38-42.jpg,"[171.46138678425038, 132.94863992050668, 104.40009005092534]",0.047317288,"[127.24391215902745, 100.86424144371351, 75.96439490370089]",0.122034894,"[83.07845953264453, 55.735882057968126, 38.205576170895554]",0.181361911,"[46.57988610381904, 23.761216727354853, 16.121630394896552]",0.207600317,"[10.80371669293548, 5.126689387125259, 4.828296048125568]",0.44168559
E:/Organized Photos/2014/2014-01-09 16-08-00.jpg,"[79.66483687362138, 87.61931748061227, 89.14404683743618]",0.043731177,"[121.42224446359829, 119.04841146982852, 113.61557557552646]",0.179936303,"[162.97053294486895, 164.28088849677485, 162.35396365576102]",0.22183788,"[136.33293394691864, 134.96898109496442, 130.87437348253172]",0.229940107,"[148.84502118318372, 148.83756328551297, 145.4672693412685]",0.324554533
