Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2006/2006-02-05 05-12-48.jpg,"[154.52440148016112, 114.72385044533031, 91.32595141471069]",0.072559875,"[198.19298987035657, 169.92829928611394, 156.30096138425503]",0.096518434,"[222.53178822278568, 200.0571889275187, 186.77740128808932]",0.194116412,"[120.95122091659168, 54.23325337983299, 15.82450908522138]",0.254897129,"[48.54631742380678, 47.46811040828083, 59.987036227717056]",0.38190815
E:/Organized Photos/2006/2006-02-05 07-16-06.jpg,"[72.71327849588717, 47.53701527614571, 32.2737955346651]",0.042863383,"[111.30189834660135, 87.91855480710349, 67.26025719534599]",0.08267551,"[157.74979406919277, 138.37108731466228, 121.6085255354201]",0.240213276,"[143.16726267880364, 119.55494148244476, 99.7997399219766]",0.294655003,"[12.258013737836292, 10.821694333142531, 7.938322839152833]",0.339592828
E:/Organized Photos/2006/2006-02-05 07-16-32.jpg,"[186.80803677066376, 115.48051398618958, 98.30222502671042]",0.114118788,"[155.77001314924377, 83.51277449046673, 61.441479289940816]",0.124553288,"[104.47760973527834, 62.20639315378812, 42.50091377668833]",0.149015953,"[58.155185935847776, 31.743456996827614, 16.672435671483957]",0.185010996,"[22.593679175708758, 14.658732099566542, 9.368697420335009]",0.427300975
E:/Organized Photos/2006/2006-02-05 07-17-28.jpg,"[100.7936133393578, 67.09958996479304, 45.19348376482195]",0.092854567,"[140.85913760341154, 97.03595462730138, 72.79366645092217]",0.155752174,"[170.40378474025295, 128.4388694758948, 97.42213020891187]",0.214828931,"[32.459908548924076, 13.23725264620299, 12.732674121282804]",0.242836658,"[164.5284680901991, 109.98910994258509, 48.783071769189746]",0.293727671
E:/Organized Photos/2006/2006-02-05 07-18-31.jpg,"[171.5080253276395, 136.76056545427775, 110.32925931379769]",0.112574573,"[142.5639796659405, 83.91793754538853, 59.225853304284676]",0.113762498,"[94.30806451612905, 42.12182795698925, 21.906559139784946]",0.150732849,"[222.2402736212057, 170.0937366395896, 127.26464300983328]",0.151385021,"[19.72197692636377, 14.125017803731664, 13.301274747187016]",0.471545059
E:/Organized Photos/2006/2006-02-05 07-18-44.jpg,"[88.88401889744904, 36.0482104234982, 16.34165412484663]",0.071459484,"[132.40933564018349, 83.50270979528844, 57.82136170844598]",0.11082402,"[161.9975140666904, 118.62029350225683, 93.69986948850134]",0.199157338,"[180.63184798119, 140.5761868801768, 117.27155906588469]",0.292879207,"[31.873566470940084, 26.676975493340453, 26.078041552857954]",0.325679952
E:/Organized Photos/2006/2006-02-05 07-19-08.jpg,"[106.4679313459801, 70.52032520325203, 53.93134598012646]",0.083461934,"[165.4077589764755, 131.3702022286422, 115.15022699133307]",0.179283613,"[35.32642487046631, 21.631088082901556, 16.976165803108803]",0.211876512,"[207.18852459016398, 209.19104665825978, 209.2159520807062]",0.237210749,"[186.66944818304168, 160.92382234185732, 148.08479138627183]",0.288167192
E:/Organized Photos/2006/2006-02-05 07-19-20.jpg,"[231.81414994720168, 181.7673354452658, 167.02270327349515]",0.064432529,"[136.16278058117285, 99.79519749434486, 76.32173307812775]",0.136568423,"[70.5025552187094, 25.47059333044608, 6.417323516673882]",0.136690367,"[49.32638309702531, 50.427816831486524, 56.481432940148515]",0.296476011,"[179.65830438698057, 150.56036922681068, 128.39778721214458]",0.36583267
E:/Organized Photos/2006/2006-02-05 07-19-36.jpg,"[167.83417161385512, 125.63645497737069, 103.11643849826733]",0.159803854,"[71.90164784947028, 26.27742871535302, 26.29908332151908]",0.161091118,"[193.6032584176554, 153.72485751903508, 130.55168675364396]",0.214700958,"[120.74477766018359, 28.25107786664815, 42.61323238544673]",0.225583803,"[24.274226915938893, 16.472230033180875, 14.466618194088458]",0.238820268
E:/Organized Photos/2006/2006-02-05 07-20-10.jpg,"[80.70375651764152, 55.875840861041766, 47.03128778062269]",0.064769101,"[164.31665073028475, 146.83955370162334, 134.39766571845158]",0.170052862,"[18.772762545817297, 11.994327730913463, 9.292584822101686]",0.236920518,"[132.80370296764676, 91.57485064426798, 71.23465945270738]",0.245723897,"[149.714442505082, 114.8753190969757, 95.85723130849529]",0.282533622
