Path,RGB_5,P-5,RGB_4,P-4,RGB_3,P-3,RGB_2,P-2,RGB_1,P-1
E:/Organized Photos/2003/2003-05-16 17-02-17.jpg,"[155.02804532577895, 140.3951133144475, 122.92939093484425]",0.168092992,"[69.58258567436388, 76.69841153110751, 33.36461244300634]",0.168237122,"[234.64687289845338, 229.21681237390732, 225.8821788836584]",0.180391105,"[109.30522110037259, 120.93153717401869, 56.312510123643435]",0.223243363,"[33.101869203786435, 37.149968766517695, 22.68382105617222]",0.260035418
E:/Organized Photos/2003/2003-05-16 17-02-34.jpg,"[166.90224358974356, 145.72916666666666, 133.38301282051282]",0.046291245,"[206.78697183098592, 203.46654929577466, 195.5968309859155]",0.111880238,"[107.41121095421478, 98.64099272571671, 74.98716302952504]",0.170367053,"[69.30726131779471, 85.53989242492155, 21.43254146122815]",0.308148185,"[24.61355346515646, 25.55596083701286, 12.110385870608562]",0.363313279
E:/Organized Photos/2003/2003-05-16 17-02-50.jpg,"[166.20738327904454, 153.1742671009772, 133.2752442996743]",0.151406384,"[72.71182600815587, 81.49750792931583, 36.397371998187594]",0.177535873,"[119.01327967806841, 124.86036217303823, 70.61207243460765]",0.198091535,"[230.0647143890094, 224.82176428054953, 220.4356471438901]",0.222638427,"[33.472556894243645, 37.699799196787154, 22.980589022757698]",0.250327781
E:/Organized Photos/2003/2003-05-16 17-26-27.jpg,"[157.35085937182555, 140.85933119336923, 124.87050505871352]",0.082665631,"[195.00484656200413, 188.8866473387667, 180.11943547945978]",0.155028248,"[99.5844459490913, 90.7920589915574, 64.53153763145097]",0.161489071,"[53.87052094771654, 62.75792402368608, 22.49534832020801]",0.254222149,"[19.315905657619012, 20.72862433604598, 12.442532040348922]",0.346594901
E:/Organized Photos/2003/2003-05-16 17-26-40.jpg,"[159.8426840354086, 143.47286575410158, 116.66292462072083]",0.103610033,"[111.01091300231111, 107.84946496699976, 71.4871985435407]",0.182248014,"[216.46786254357173, 209.79054106007823, 200.99341936641372]",0.195488401,"[68.89858381782653, 84.08009657599388, 27.312261905439744]",0.223907449,"[26.95123038678468, 29.258432011975124, 17.918240089813175]",0.294746103
E:/Organized Photos/2003/2003-05-16 18-15-17.jpg,"[214.52675585284283, 213.9682274247492, 212.7591973244147]",0.036615895,"[192.33261455525607, 167.84797843665768, 160.19946091644204]",0.102720453,"[172.23243243243243, 132.96216216216217, 119.73415233415236]",0.125205347,"[129.61611179613647, 103.16728318947801, 91.27558569667077]",0.27352248,"[28.109262478271663, 17.072634715669235, 16.670598460392352]",0.461935824
E:/Organized Photos/2003/2003-05-16 18-55-51.jpg,"[52.348226473965894, 134.53205781023138, 131.00678208489504]",0.056740457,"[189.3105274485382, 128.2018170917304, 84.18336945994534]",0.080344818,"[235.37977959641933, 201.8033149171273, 177.68920140632858]",0.10327037,"[28.624870551775437, 16.722769846810053, 15.818494411672235]",0.318876876,"[135.76349886444788, 51.00411332961083, 5.384922154471264]",0.440767478
E:/Organized Photos/2003/2003-05-16 18-58-53.jpg,"[231.7685683530678, 182.8277717976318, 155.96663078579115]",0.08001213,"[198.23168908819133, 113.47683109118086, 89.18609865470852]",0.107861887,"[78.71863926293409, 45.18568391211905, 34.32459248759744]",0.13465856,"[148.37057949479936, 33.241307578008914, 4.935809806835067]",0.263223081,"[26.916110581506196, 10.184938036224978, 8.245185891325072]",0.414244342
E:/Organized Photos/2003/2003-05-16 18-59-10.jpg,"[143.906523855891, 92.07043167802661, 72.06134371957161]",0.078979452,"[203.2175438596492, 144.837134502924, 128.45058479532167]",0.088381005,"[152.42287532759266, 36.51329090228378, 20.786222388618498]",0.128829794,"[84.02785175321793, 18.419773635153124, 8.314469596094098]",0.234320499,"[19.13235864207787, 10.974525114913883, 11.167082018053943]",0.469489251
E:/Organized Photos/2003/2003-05-16 19-03-33.jpg,"[209.42343515337507, 186.15164719001191, 184.5537536337443]",0.050331036,"[126.48315140479154, 76.30112389943923, 54.17356279750995]",0.096887553,"[167.62086823635883, 115.25482510753878, 97.8126075390534]",0.115709257,"[61.83750545610227, 15.692153499272965, 6.727143448923929]",0.232140717,"[16.525535464324808, 8.422122937879113, 7.963716259835263]",0.504931437
E:/Organized Photos/2003/2003-05-16 19-04-42.jpg,"[227.5641025641026, 215.83333333333334, 199.20940170940173]",0.017895187,"[252.50464396284832, 189.4674922600619, 67.49226006191948]",0.023253591,"[161.7531545741325, 101.94479495268139, 80.27602523659306]",0.100211598,"[111.0184519530314, 25.92355619458423, 3.420321111909897]",0.340861705,"[16.31637519872814, 8.306995230524644, 7.694276629570747]",0.517777919
E:/Organized Photos/2003/2003-05-16 19-06-42.jpg,"[49.77199454903471, 13.048465080950614, 7.605478411560644]",0.118954004,"[157.2398382430948, 116.04823450923331, 94.2811032061554]",0.139073917,"[136.7440047416159, 63.22295732285882, 30.354960889468828]",0.145603706,"[204.81478044008787, 199.18978336132167, 191.00155409623687]",0.226433609,"[185.24076816939726, 152.29450734264435, 129.0374010413546]",0.369934764
E:/Organized Photos/2003/2003-05-16 19-31-05.jpg,"[119.64254062038405, 124.18168389955687, 136.77548005908423]",0.053154239,"[176.42820069204151, 93.92387543252596, 61.81747404844291]",0.096354942,"[95.09243697478992, 24.973856209150323, 5.167600373482726]",0.154346856,"[17.307280832095095, 9.678751857355126, 9.390787518573548]",0.274929949,"[136.83771220695226, 43.599029911075185, 2.3704527081649154]",0.421214014
