Path,RGB_5,P-5,RGB_4,P-4,RGB_3,P-3,RGB_2,P-2,RGB_1,P-1
E:/Organized Photos/2003/2003-05-25 17-59-15.jpg,"[154.8689983587233, 127.9557086386649, 223.68981021290398]",0.066426397,"[136.93379706476904, 108.64270218745386, 91.60636103669867]",0.187054177,"[183.5801142866092, 160.07071973913125, 136.42335036919684]",0.195306559,"[50.280541721643246, 23.656822464737317, 20.951430194429502]",0.256850079,"[50.447018491856724, 70.57649023148115, 83.9617228756053]",0.294362788
E:/Organized Photos/2003/2003-05-25 18-00-21.jpg,"[106.79088768492812, 74.11756707458596, 55.50432491264252]",0.155479495,"[186.20585106948772, 188.45121892849224, 186.9877734877734]",0.176416406,"[160.64760156911913, 114.02432028301503, 105.87486355197781]",0.17649932,"[57.410078581942635, 49.32207108978919, 46.6796773389617]",0.244528977,"[17.44671627317426, 12.927478161937648, 16.165484407928886]",0.247075801
E:/Organized Photos/2003/2003-05-25 18-01-00.jpg,"[219.49409418622486, 228.18453750575233, 242.077772664519]",0.098651733,"[131.3388099988264, 115.30618472010322, 108.91163009036498]",0.13219465,"[195.25014143699983, 158.7033055847409, 160.93453487432305]",0.186986761,"[82.62007195323042, 63.07397691500527, 58.98148703342831]",0.207505228,"[19.966708365279842, 20.9065413018038, 35.27133691134334]",0.374661629
E:/Organized Photos/2003/2003-05-25 18-02-39.jpg,"[158.98851716904034, 155.73804178474592, 144.21017506409993]",0.105208385,"[124.06470995072188, 34.28586496066399, 54.59636033543698]",0.14654288,"[97.10670775629359, 76.33876392881984, 84.2275901810827]",0.20843407,"[194.2941790189528, 202.42512406344312, 193.3404473852078]",0.240252068,"[26.34059230436661, 21.39027669693043, 20.348227410289642]",0.299562597
E:/Organized Photos/2003/2003-05-25 18-03-29.jpg,"[235.96595042332737, 240.04281158622908, 247.1348330633405]",0.059989337,"[167.0515876606728, 171.43487122475457, 183.08965359739028]",0.140966987,"[47.58325672594362, 26.0670691910537, 27.023157187254323]",0.217932227,"[105.45354533152904, 84.3255128552099, 74.22728552097435]",0.223863538,"[146.41355378614168, 136.3180731251217, 125.178069232787]",0.357247911
E:/Organized Photos/2003/2003-05-25 18-03-52.jpg,"[200.07345916981933, 200.19515565900502, 223.2581830084374]",0.071471228,"[158.69672710001163, 145.37327225419932, 149.98599887924405]",0.204305941,"[76.46407490861763, 47.802217214961736, 38.664443442992265]",0.211119084,"[116.68615979624592, 96.06498254881599, 84.72138477502119]",0.224901382,"[29.46372250767824, 15.224670674371584, 15.517637297855925]",0.288202366
E:/Organized Photos/2003/2003-05-25 18-43-04.jpg,"[86.46941489361701, 10.753989361702127, 17.85904255319149]",0.062130633,"[120.9582504970179, 84.65009940357852, 83.51391650099403]",0.084257009,"[82.13178294573643, 49.19591261451727, 51.84073291050036]",0.11089018,"[38.87310142087212, 21.85546300832925, 26.349338559529638]",0.16685135,"[8.752616690240451, 7.7130127298444116, 8.353182461103254]",0.575870828
E:/Organized Photos/2003/2003-05-25 18-44-28.jpg,"[118.74635845471823, 92.74730842305264, 85.72704243191896]",0.075093607,"[72.74895909870193, 44.700955180014724, 36.59184423218223]",0.096173099,"[99.89618159422841, 64.57856765792718, 53.52085166285412]",0.136845058,"[28.53760805057412, 18.368920139336847, 16.798026061153397]",0.184180604,"[140.6357173025482, 138.1600262799756, 135.86834201511095]",0.507707631
E:/Organized Photos/2003/2003-05-25 18-46-49.jpg,"[28.37556918639678, 21.531829989826228, 23.245750239527432]",0.120332027,"[82.85889080498357, 63.510835890200184, 60.53754675147249]",0.159018186,"[145.32381750659246, 143.85657124327756, 137.43981841208463]",0.194511516,"[106.97232380643966, 98.7957087104357, 94.48773079779133]",0.214328961,"[164.45209061893888, 162.9954797428339, 164.1683184948762]",0.311809309
E:/Organized Photos/2003/2003-05-25 18-47-22.jpg,"[147.57588652482266, 133.06524822695033, 114.58014184397165]",0.058960792,"[131.7394888705688, 92.71723000824403, 80.6512778235779]",0.102197915,"[49.57038834951455, 33.260315533980574, 31.52427184466019]",0.13434731,"[101.61920349154393, 75.58537915984725, 70.7037643207856]",0.149929949,"[174.2900275802003, 173.96414573958484, 176.53941065466685]",0.554564033
E:/Organized Photos/2003/2003-05-25 18-48-24.jpg,"[242.24905723511318, 197.9399206973278, 108.40956316608394]",0.104982374,"[181.02859486173898, 129.91886534985267, 57.1444920776701]",0.149788918,"[169.60702833048356, 158.99616944877067, 159.6096989946995]",0.181219469,"[59.9262296209672, 38.033143014377394, 34.23203377588237]",0.206075545,"[120.58950640492888, 80.44587427256647, 66.70447285437051]",0.357933694
E:/Organized Photos/2003/2003-05-25 18-49-39.jpg,"[108.69106557922242, 85.84206281904214, 82.72513967177154]",0.175520627,"[70.01491935645625, 47.98892128981543, 49.812281644719256]",0.181988682,"[19.637527015496268, 18.076587601797947, 22.223035293799008]",0.188355227,"[185.24952705596786, 186.09282731296454, 186.38906874643078]",0.204144505,"[167.49387855151258, 170.53315328643941, 175.65327403750067]",0.24999096
E:/Organized Photos/2003/2003-05-25 18-51-37.jpg,"[29.073218274732977, 69.41766271917736, 95.30302946846611]",0.102512522,"[84.27975484807284, 55.84877747361307, 40.02948481212425]",0.132972387,"[112.4458791321049, 96.40914221795448, 82.64528000245129]",0.244722443,"[150.2217934299223, 147.83770701479727, 139.73175611274107]",0.256452816,"[13.65181352494655, 12.633002423950254, 14.468328529810062]",0.263339832
E:/Organized Photos/2003/2003-05-25 18-53-47.jpg,"[159.69648442173272, 93.96040060843232, 60.59564868144446]",0.108621543,"[103.82835208776548, 56.04693307359081, 42.05017558249817]",0.143345659,"[116.17998128515462, 98.82277452724462, 93.58013964153889]",0.178589214,"[178.27555502435257, 155.71607852511437, 136.3114411211043]",0.245093618,"[18.774274518712, 14.757215060480416, 15.97372366403544]",0.324349966
E:/Organized Photos/2003/2003-06-03 08-21-04.jpg,"[80.02404520849993, 50.40509723335999, 36.85594677225311]",0.115961615,"[237.9839029064204, 221.457811135952, 199.30131161503158]",0.131579124,"[91.93072197340962, 96.94245589764019, 93.41589482652186]",0.147828948,"[151.37276960007637, 115.22056597012951, 91.22910543746376]",0.274609401,"[179.01102192796873, 159.57747932496295, 136.70086529482515]",0.330020912
E:/Organized Photos/2003/2003-06-03 08-24-23.jpg,"[151.39653414882773, 117.94291539245667, 89.72528032619776]",0.13510955,"[216.1449080305069, 204.66442350829965, 187.10812023328845]",0.156310442,"[40.973984481971705, 27.827019625741666, 25.945686900958467]",0.157902078,"[100.91581108829568, 68.67063655030799, 45.586447638603694]",0.163384466,"[146.3718064866824, 145.53759739083168, 141.3748867548469]",0.387293464
E:/Organized Photos/2003/2003-06-03 08-25-16.jpg,"[199.17818969171375, 80.45353939213433, 57.33719025306746]",0.062772505,"[221.9558143728279, 187.76104845583941, 158.9556258605992]",0.08739947,"[141.28725085111586, 134.88281133549145, 119.44079751492067]",0.239762593,"[89.71894004575762, 85.16368133909548, 75.02333590801538]",0.291313314,"[29.670827007985114, 23.37078686958614, 21.21840670737317]",0.318752118
E:/Organized Photos/2003/2003-06-03 08-26-55.jpg,"[220.694459742657, 208.79662477738125, 184.46229249068472]",0.101783862,"[99.30445625511021, 118.79535295720862, 139.95840374307213]",0.156574681,"[60.39216200288987, 39.675641894088294, 30.03074674255658]",0.172809266,"[140.90133675802053, 83.05164314720302, 36.00540986701312]",0.263459941,"[176.83365782284486, 160.08236658382506, 140.1559091081556]",0.30537225
E:/Organized Photos/2003/2003-06-03 08-28-11.jpg,"[35.21329882468658, 33.22967343743879, 33.48829934951393]",0.186718647,"[128.61330567447905, 99.48542760883305, 76.78670609524657]",0.188756623,"[173.8181831294713, 154.54249365335792, 126.43514597276679]",0.194898189,"[210.63106107950327, 203.13567511558844, 190.15622793419408]",0.208510268,"[214.55897748576194, 180.686756345807, 46.08913350925082]",0.221116274
E:/Organized Photos/2003/2003-06-03 10-52-56.jpg,"[45.57891169039264, 36.31755715782343, 33.80325657511835]",0.088345101,"[119.22696288464786, 145.49264555858514, 147.73003728228795]",0.129159124,"[84.77592560153177, 78.9286639306316, 78.02288197094647]",0.196384181,"[184.171131837749, 177.47407225935913, 166.06016460761373]",0.213683731,"[124.95760915854623, 112.60007515218338, 94.34227143298529]",0.372427862
E:/Organized Photos/2003/2003-06-03 11-10-57.jpg,"[148.2378516624041, 119.77429667519182, 110.23465473145781]",0.123259584,"[43.50445434298441, 28.580178173719375, 25.170935412026726]",0.145395517,"[180.9056984367121, 175.92435703479575, 165.6949067070096]",0.168265793,"[74.09963768115941, 129.7554347826087, 143.58831521739128]",0.178137192,"[77.38843149672788, 80.9877559636901, 76.3405108718598]",0.384941914
E:/Organized Photos/2003/2003-06-03 11-11-13.jpg,"[205.62037923343036, 199.21279011268368, 187.2713357760753]",0.101252025,"[46.96595225588561, 29.42196975945621, 24.75392549695462]",0.10401582,"[160.9744327311618, 150.69906170810236, 142.06337289859025]",0.169786397,"[80.1730265602407, 140.47737701395386, 154.68247238997418]",0.200672713,"[77.8534631621376, 89.20362332675732, 90.35382167631896]",0.424273044
E:/Organized Photos/2003/2003-06-15 13-26-12.jpg,"[137.4361921603301, 87.77040966696138, 74.18449749484233]",0.079517746,"[176.83382276731743, 123.52876144411813, 109.60804974952498]",0.139579665,"[35.69103604066125, 44.90183797104425, 34.00759831604887]",0.243828471,"[18.580958671447448, 16.86299301755048, 26.502642007926024]",0.25505697,"[44.977697553148836, 59.525711993582036, 46.21708784596871]",0.282017147
E:/Organized Photos/2003/2003-06-15 13-30-18.jpg,"[98.55913234472624, 32.8180577421158, 30.76201691127938]",0.132147898,"[20.249225653639467, 12.460075612644667, 10.994363213992909]",0.147978762,"[182.74701261414526, 118.42522120168891, 106.43805688106703]",0.189508272,"[93.32993470855435, 91.01209626545553, 100.78202277315162]",0.213577828,"[39.701182044372366, 36.17380106360146, 28.52430464471099]",0.31678724
E:/Organized Photos/2003/2003-06-15 13-42-00.jpg,"[190.0184237461617, 195.9825997952917, 205.91709314227228]",0.084002585,"[162.09218612818265, 147.99165935030737, 152.35381913959617]",0.176124787,"[127.10945945945949, 110.91441441441442, 109.66396396396397]",0.178354937,"[30.740946045824096, 29.304878048780488, 41.23540280857355]",0.221501655,"[63.34380326272219, 72.76284392500608, 59.512052593133674]",0.340016035
E:/Organized Photos/2003/2003-06-15 13-43-06.jpg,"[119.10921383802977, 81.12566418266469, 69.42124397506129]",0.073721525,"[199.79971379374547, 157.78557799702173, 145.19923911020126]",0.103544425,"[43.67998087748909, 28.835000048781925, 21.907246065738505]",0.122246795,"[163.22946358688745, 121.90935401081204, 109.35989916088775]",0.131551744,"[10.176582526088394, 8.809029520075525, 7.5448860785331044]",0.56893551
E:/Organized Photos/2003/2003-06-15 13-43-41.jpg,"[99.42592592592592, 36.54761904761903, 19.54497354497354]",0.031991575,"[96.46029411764705, 95.33382352941177, 95.51323529411765]",0.046705298,"[10.485536547433902, 5.391290824261275, 5.035769828926905]",0.264602912,"[39.74594753905099, 50.38667845564397, 46.95844385499558]",0.271800403,"[27.276070964950232, 28.443963652098656, 23.900908697533534]",0.384899811
E:/Organized Photos/2003/2003-06-15 13-46-32.jpg,"[92.00236971868459, 91.82146227251778, 90.08789244031347]",0.041650652,"[93.28801475526285, 36.160113097729074, 20.681185092901735]",0.058833193,"[44.25978946690704, 57.77663211434457, 55.71517673190825]",0.182012962,"[14.210194050048466, 8.342308555135812, 6.785235117884573]",0.31401363,"[27.978933661207375, 34.10086715946536, 30.407315233945496]",0.403489563
E:/Organized Photos/2003/2003-06-15 13-47-32.jpg,"[94.46560846560844, 91.84504913076343, 89.60241874527588]",0.042664991,"[99.75914836992682, 44.0705256154358, 32.35063206919494]",0.045348197,"[43.109574080815435, 60.02584637786676, 55.44830724426648]",0.172999374,"[8.366080253014433, 6.6843249654081855, 6.245503063846612]",0.310646966,"[26.76168876482903, 34.28506629448709, 29.256385205861832]",0.428340473
E:/Organized Photos/2003/2003-06-15 13-50-12.jpg,"[78.2314184521866, 89.59802567129682, 89.52606063650731]",0.049212344,"[86.6456163605377, 38.24699394054149, 22.86974531338761]",0.052726497,"[35.79573862426785, 55.21182188106346, 54.098475125755066]",0.202146307,"[24.44607082900311, 31.54504756575269, 29.486293868414712]",0.309464991,"[12.704571052820055, 7.527057820139714, 6.090460751186549]",0.386449861
E:/Organized Photos/2003/2003-06-15 13-51-53.jpg,"[92.41617672047569, 79.87666949872555, 76.55561597281208]",0.066051606,"[146.26150186679527, 127.1503522823076, 116.07310610622676]",0.150476509,"[17.021656652939967, 7.807277391480451, 7.200607574427864]",0.166266304,"[38.784071289931674, 57.56498986627774, 56.22028245740079]",0.213116507,"[26.351656477733904, 35.29210908085103, 31.901407258132807]",0.404089074
E:/Organized Photos/2003/2003-06-15 14-34-03.jpg,"[177.09413868405235, 137.42649618634672, 58.09361648257747]",0.079817114,"[175.01335177269289, 171.7299849132512, 159.49997485541877]",0.096555381,"[115.92093548546661, 74.69288411125575, 50.28418215092414]",0.146829849,"[15.20058083550955, 9.910478919676763, 10.753017802531348]",0.316218467,"[38.02370531228286, 42.61485105780307, 38.91500144996921]",0.360579188
E:/Organized Photos/2003/2003-06-15 14-34-56.jpg,"[206.69902474549792, 164.22273324572814, 58.14615360258369]",0.06234063,"[193.71704053819354, 182.61099995218024, 168.58923713094185]",0.102929158,"[131.44239302705336, 88.66918086959706, 60.22781823056835]",0.184508385,"[18.085761992235476, 9.59807856043095, 9.72516208561738]",0.316702002,"[47.915899818361574, 45.48788898791437, 40.49615213818075]",0.333519825
E:/Organized Photos/2003/2003-06-15 14-35-41.jpg,"[227.51438535309504, 213.0, 205.76634699215344]",0.094128666,"[196.84799999999998, 140.6909090909091, 121.856]",0.114047105,"[73.16226818830242, 57.91833095577746, 50.914407988587726]",0.217299653,"[29.491290437255604, 12.564877355136865, 11.466050479914681]",0.231409474,"[103.99035912268016, 110.48831043624973, 112.823089901181]",0.343115102
E:/Organized Photos/2003/2003-06-15 14-35-58.jpg,"[112.21833792966184, 62.567074176214675, 50.0649475449921]",0.125468554,"[33.373236035718186, 12.618491500002303, 11.404034306464307]",0.156669219,"[159.22714297062316, 19.955071011227634, 35.5452036365051]",0.211268122,"[180.43678126271686, 117.61755866704824, 105.51789175420912]",0.235304617,"[83.3940425644664, 91.36430705234798, 102.08187532704956]",0.271289489
E:/Organized Photos/2003/2003-06-15 14-36-11.jpg,"[193.21857410881805, 127.12898686679178, 112.33818011257037]",0.172853177,"[90.87412280701753, 83.73157894736839, 67.84692982456139]",0.187411662,"[171.0203269995581, 28.15554573574901, 42.49933716305789]",0.189360267,"[37.568172730907634, 9.674930027988808, 9.500999600159938]",0.200885034,"[101.48907455012852, 107.76638817480719, 116.92609254498714]",0.24948986
E:/Organized Photos/2003/2003-06-15 14-37-03.jpg,"[116.12432098502448, 62.00787124810944, 52.301274950471914]",0.108135425,"[30.329469943565964, 38.64028101465743, 49.41733758354369]",0.11887419,"[158.39978752194065, 102.46734848032014, 92.06269189594532]",0.209531064,"[57.927955745209346, 68.78310594905386, 86.7238683374905]",0.226357153,"[27.89377304453708, 10.37988201197032, 10.03044708545562]",0.337102168
E:/Organized Photos/2003/2003-06-15 14-39-19.jpg,"[234.1746075372256, 212.66818909349635, 203.85093689877667]",0.107194185,"[204.51523586809444, 165.9489625127609, 142.48059162887895]",0.146431036,"[154.23966047124264, 127.11545148543837, 112.51095565637353]",0.151083769,"[90.6006028882046, 77.90364671186491, 65.82350465950593]",0.244941738,"[42.80851209048362, 37.29083707098279, 28.17531932527305]",0.350349271
E:/Organized Photos/2003/2003-06-15 14-42-33.jpg,"[111.66143682906689, 40.657308009909165, 10.301403798513624]",0.09945375,"[38.15077720207254, 28.86943005181347, 30.939378238341966]",0.162069984,"[121.62014757779916, 107.43278793711903, 89.71286493423163]",0.245698295,"[208.30133779264213, 204.61739130434782, 202.9076923076923]",0.245877554,"[154.8095394736842, 150.95328947368418, 147.52171052631581]",0.246900417
E:/Organized Photos/2003/2003-06-15 14-43-57.jpg,"[93.94312026002166, 62.50866738894908, 49.952329360780055]",0.108610178,"[168.12754342431765, 122.4133995037221, 103.95136476426802]",0.12554346,"[53.663492063492065, 24.31393298059965, 15.510052910052911]",0.17533491,"[211.07846526097472, 165.77428275146903, 148.31662633944003]",0.177363846,"[15.78101545253863, 9.813245033112583, 7.688153053715968]",0.413147606
E:/Organized Photos/2003/2003-06-15 14-45-09.jpg,"[128.9492143563174, 58.30662258427344, 49.63148028221816]",0.099411131,"[192.66409917214298, 183.045404113681, 178.55317060681054]",0.160703585,"[163.71455058444184, 107.63155985489725, 94.49701733172115]",0.172025588,"[30.901244680282748, 9.964582702683455, 9.220000356131688]",0.19130603,"[52.75020481730295, 76.1443734411127, 59.391838258051585]",0.376553666
E:/Organized Photos/2003/2003-06-15 14-46-33.jpg,"[201.00196071311854, 158.60847463781232, 34.7192912385171]",0.055736967,"[104.60195577286368, 97.52584855107364, 99.41486091047135]",0.165850701,"[103.05802193512181, 44.3206822091278, 25.740914248069405]",0.166052949,"[177.78555018191904, 168.07572655837916, 157.98290766383892]",0.231661315,"[26.273900356641068, 25.449972981735616, 24.447952015562553]",0.380698068
E:/Organized Photos/2003/2003-06-15 14-52-41.jpg,"[78.5143813972345, 67.79015689634518, 71.46850096275222]",0.10508466,"[25.287653619350493, 17.67122939817892, 20.23930156350134]",0.121666656,"[144.84729632522644, 130.7036350557594, 112.19638877488426]",0.219338404,"[178.05893393393401, 176.84003591220053, 167.20429321073658]",0.250137931,"[208.8278266684374, 221.32805143571102, 221.86146177116635]",0.303772348
E:/Organized Photos/2003/2003-06-15 14-53-38.jpg,"[193.17448572795385, 132.07067134428334, 115.51118800829188]",0.128702452,"[145.9572099272971, 69.89811163809982, 46.692655303969474]",0.155559309,"[95.54071719018607, 25.775327711522817, 13.514286494009763]",0.184676538,"[104.45966120073881, 110.58974019505852, 122.76013172024375]",0.199211259,"[27.15694950812968, 16.258528098655567, 13.283611569507915]",0.331850441
E:/Organized Photos/2003/2003-06-23 09-26-56.jpg,"[70.01758659988927, 115.83290011605926, 144.63464413797442]",0.163820732,"[40.33726179379245, 48.51640948609416, 63.31962429272862]",0.178305602,"[184.07440388643752, 184.50278557739554, 174.9965663858804]",0.193123161,"[136.63092158243143, 33.90879378682583, 34.838860638541476]",0.199500812,"[152.9787154700849, 117.84179331027639, 94.71055796718939]",0.265249692
E:/Organized Photos/2003/2003-07-04 18-03-31.jpg,"[45.280729579698665, 69.76050753370343, 122.82950039651071]",0.104949311,"[207.6007303712721, 164.67376749847847, 126.01095556908096]",0.127713685,"[148.6099570200573, 49.32342406876792, 23.591690544412607]",0.231674746,"[49.07245931839116, 18.177463923856315, 14.89683758059564]",0.263753627,"[155.9808095952024, 101.0446776611694, 60.354722638680656]",0.27190863
E:/Organized Photos/2003/2003-07-04 18-03-44.jpg,"[206.22143647281942, 27.275916561314798, 24.940621049304703]",0.038286571,"[27.817913902383225, 57.50466283591939, 114.17383698241176]",0.112238757,"[179.6282742175859, 140.7547123695977, 95.25085543964252]",0.253833151,"[40.21285975413059, 16.05922982791191, 10.687666084676952]",0.294563227,"[114.54869700972728, 76.45951423081519, 46.835860253792816]",0.301078293
E:/Organized Photos/2003/2003-07-04 18-04-03.jpg,"[199.70574794912764, 28.284038980344654, 33.47833507680455]",0.060626302,"[29.212392945599973, 56.742412939035006, 112.16242427859505]",0.111823154,"[179.8636003988295, 142.60795085394503, 97.20330642308065]",0.257757999,"[114.21811304895971, 77.21566567370789, 48.54564725659123]",0.269928513,"[40.7161906884734, 16.563534033601748, 11.087994204675258]",0.299864032
E:/Organized Photos/2003/2003-07-04 18-05-16.jpg,"[246.392971471613, 56.97629695885507, 53.89930326711234]",0.035846166,"[28.97234585101756, 82.54619416816087, 140.31374623200895]",0.196191748,"[200.5507991123241, 165.68395056701354, 111.76927336767328]",0.207377628,"[127.86246512542554, 93.08651967110373, 68.38746727628045]",0.274882422,"[47.79231228003875, 19.019521931171298, 12.285084559605098]",0.285702035
E:/Organized Photos/2003/2003-07-04 18-05-39.jpg,"[206.56927923268597, 177.49706145093796, 64.88349240678919]",0.102336879,"[30.15996067691874, 80.58092830559649, 138.904079769679]",0.135359841,"[194.52494290952365, 154.0667074072882, 146.6792319320704]",0.146699925,"[49.9257616984111, 22.670764889650304, 16.6562027612617]",0.284407184,"[147.24450675870014, 81.10452976704065, 61.84515386827727]",0.331196171
E:/Organized Photos/2003/2003-07-10 10-30-30.jpg,"[94.60051239321912, 184.8655162478491, 224.6490573677943]",0.066025518,"[185.82893158471592, 167.25316503033474, 145.54130432906507]",0.17854737,"[238.61567622522733, 226.51860507221187, 217.65744328231395]",0.185759326,"[107.53106796116549, 111.18032933204631, 112.3939926046013]",0.280896389,"[53.72144591617298, 61.314513846029485, 69.3971803298288]",0.288771397
E:/Organized Photos/2003/2003-07-10 10-30-45.jpg,"[185.5895542497524, 187.2928256636706, 182.84650605865698]",0.14811411,"[231.8257997203757, 239.29395995415143, 235.30435978285084]",0.159439988,"[109.71172241143397, 129.47449713270956, 136.9945875663453]",0.168583242,"[62.5684243398847, 82.04799921215076, 93.45644215979647]",0.250942273,"[26.278586427583328, 33.69046271013563, 41.46733747572255]",0.272920386
E:/Organized Photos/2003/2003-07-10 11-05-30.jpg,"[134.63881026850996, 85.71114982923775, 54.2945703196641]",0.149582538,"[144.279415128285, 135.8166345589289, 132.15186291686027]",0.158686789,"[93.00074707412752, 40.696075746470136, 20.587121730795626]",0.184388018,"[222.22278870974316, 212.59580085260777, 208.5700170007456]",0.203648571,"[32.784059413107755, 17.065314665923893, 15.997443067141548]",0.303694084
E:/Organized Photos/2003/2003-07-10 11-18-38.jpg,"[146.6388393290386, 147.27626775756428, 137.2991930246277]",0.084027123,"[36.32996966906442, 34.96468474502053, 34.068080393078596]",0.096857074,"[73.47042676458608, 73.69651897184826, 71.88963851489173]",0.191173781,"[169.22981581225906, 169.37517569801298, 163.28704838582718]",0.222517802,"[97.96586418923204, 96.7244271164122, 92.91180938340761]",0.405424219
E:/Organized Photos/2003/2003-07-10 11-22-14.jpg,"[57.39321346252712, 42.38429777190645, 40.41898771259758]",0.11213802,"[193.9756860867489, 190.122205053429, 179.8486931162815]",0.140670461,"[96.26785466765399, 96.03420658505502, 90.59915954170347]",0.182973317,"[128.8516359911569, 127.12672367405956, 120.95909211729074]",0.187553468,"[218.27181923292105, 217.15584572307299, 212.29767827934677]",0.376664735
E:/Organized Photos/2003/2003-07-10 11-25-29.jpg,"[62.19025522041763, 61.93851508120648, 59.7877030162413]",0.07185945,"[26.278765201122543, 25.77642656688494, 25.99158091674462]",0.087453713,"[102.41071428571429, 99.89357142857143, 95.225]",0.10979706,"[215.51648351648353, 214.38042909471483, 209.50654107796967]",0.305176459,"[131.77293086660174, 130.83641674780915, 125.69055501460565]",0.425713317
E:/Organized Photos/2003/2003-07-10 11-25-47.jpg,"[246.53122480064488, 246.23277484096405, 244.23483558820897]",0.099605371,"[90.80229906897206, 83.56270188105643, 80.54365380961426]",0.187323065,"[42.89443181311578, 39.69537693370782, 41.3278498506531]",0.20235527,"[135.94420069749125, 133.35257059286752, 128.92638842014466]",0.235931766,"[174.46843755155916, 172.8174888632239, 166.35891767035142]",0.274784527
E:/Organized Photos/2003/2003-07-10 11-46-05.jpg,"[140.1677953065444, 139.37400652913377, 126.0643512742064]",0.095584953,"[57.59847438916893, 56.367596410964325, 52.395524834790486]",0.107736095,"[199.60512356757783, 198.9134193799233, 192.32156383543762]",0.189386613,"[180.98816609043305, 179.75317604355746, 169.71510576672893]",0.190734932,"[108.99541400596682, 109.08426783581109, 103.58921032716442]",0.416557406
E:/Organized Photos/2003/2003-07-10 11-55-15.jpg,"[144.45447105360617, 113.66910890703271, 113.86691089070325]",0.027523784,"[114.03951485400263, 61.80650178189064, 29.657228358412457]",0.144667632,"[22.302109351847953, 54.55114093391466, 100.54114982430895]",0.205510388,"[63.397077764531865, 32.24085178950473, 19.929991353505795]",0.269793423,"[25.909748869277788, 16.098518828150592, 14.224137418180193]",0.352504773
E:/Organized Photos/2003/2003-07-10 11-57-07.jpg,"[87.56361274428586, 114.75408868830735, 135.010061278569]",0.055168452,"[189.93968261812535, 156.2615844004285, 134.87308906574117]",0.150123157,"[141.0390208297501, 80.49964883353651, 50.89702617798296]",0.21831425,"[235.42891730176868, 217.12909399675402, 200.54247256842896]",0.241068292,"[66.49229419722661, 36.85542296030002, 28.164493038393935]",0.335325849
E:/Organized Photos/2003/2003-07-10 12-04-25.jpg,"[70.09136212624585, 67.19102990033223, 66.04568106312293]",0.098464208,"[195.02960102960103, 197.27112827112836, 198.13384813384815]",0.178762533,"[153.4169724770642, 156.15366972477065, 158.48256880733942]",0.182389304,"[116.22131782945736, 115.41937984496124, 114.35736434108527]",0.210770381,"[254.28249436513894, 254.16278487352866, 254.16153268219378]",0.329613575
E:/Organized Photos/2003/2003-07-10 12-04-52.jpg,"[167.15457467471091, 166.97035012633435, 170.6110624108352]",0.09608347,"[31.276015252621537, 30.689056244042003, 33.18183984747381]",0.176223974,"[106.93813182369568, 109.93369203726773, 113.24767076260345]",0.199448119,"[70.50666409403956, 72.84796515079549, 76.40827594395634]",0.223612471,"[252.40360123208674, 251.9756641034605, 252.4201710503321]",0.304631966
E:/Organized Photos/2003/2003-07-10 14-30-12.jpg,"[101.94289555797964, 181.90220452066242, 235.2598239427681]",0.02683671,"[241.6830167336272, 223.50040956430146, 205.40262121152995]",0.034833893,"[156.63960365436824, 127.6240006657275, 96.47989443463703]",0.114103156,"[40.99813495243518, 16.3160617896274, 8.080976755491053]",0.284002172,"[96.9400039396802, 36.263362604906455, 9.612644115134012]",0.540224069
E:/Organized Photos/2003/2003-07-10 14-31-36.jpg,"[111.69099036027778, 181.48236307824862, 229.49749582637705]",0.025401086,"[243.270774904914, 219.70709593146108, 195.7671827576939]",0.03575447,"[159.74055563558986, 119.02165360875003, 75.00150710889966]",0.123122169,"[43.48329594795547, 16.2291118527397, 7.313693990321251]",0.276204653,"[99.97740832437027, 34.391569596363475, 8.920934208657185]",0.539517622
E:/Organized Photos/2003/2003-07-11 10-12-45.jpg,"[236.88055514007647, 230.7666580549247, 215.44519986039907]",0.050614389,"[163.0866485022609, 146.9884041201232, 132.9007138842323]",0.138045888,"[86.34156669453543, 47.21928650496281, 30.976946178197743]",0.187727303,"[32.247264612797736, 17.023317198466685, 13.456396927574485]",0.238886702,"[136.09563021973582, 92.22611755059773, 67.77708059879966]",0.384725718
E:/Organized Photos/2003/2003-07-11 10-27-48.jpg,"[137.52538523925392, 134.89034874290363, 131.4830494728305]",0.08987113,"[209.32956381260078, 206.80702012042877, 203.25789396387125]",0.099782564,"[38.676862059693455, 35.4132159182576, 34.93392040871203]",0.211062258,"[106.53858820946323, 100.4239762871885, 93.02179163464707]",0.270916247,"[75.83806566104707, 70.6211180124224, 63.7061668145519]",0.328367801
E:/Organized Photos/2003/2003-07-11 10-27-58.jpg,"[243.42143945131983, 242.02871161865392, 242.6512988688473]",0.094292169,"[193.5719066450616, 188.71803530082764, 182.47599460629345]",0.10499813,"[59.184072514560825, 57.65757293058671, 58.02411058722672]",0.122240596,"[119.7870696182797, 113.78065812460693, 106.58226186410896]",0.311119394,"[153.9419673161333, 146.99791208449494, 138.04430091291357]",0.367349712
E:/Organized Photos/2003/2003-07-11 10-30-42.jpg,"[30.771047218622808, 25.33317173950465, 29.27454489439007]",0.106609913,"[190.54586159333857, 193.9781412554505, 201.25629483161205]",0.155554402,"[83.79622356530699, 78.89327994144915, 75.96848464789112]",0.212548508,"[147.29865233390515, 148.17539415402032, 149.65587709078378]",0.255026491,"[115.24266556464661, 111.52030017044663, 107.70660839675595]",0.270260685
