Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2011/2011-01-07 15-56-59.jpg,"[24.33218588640275, 98.11187607573149, 123.1566265060241]",0.048236726,"[224.62745098039215, 230.49803921568625, 223.46666666666664]",0.071733554,"[166.93289902280137, 171.5635179153095, 155.34462540716612]",0.242981997,"[115.3178125, 109.598125, 86.44843750000003]",0.251955636,"[27.613869863013694, 32.24850171232877, 23.978167808219176]",0.385092088
E:/Organized Photos/2011/2011-01-07 15-57-33.jpg,"[228.8162911611785, 234.3006932409012, 237.97920277296365]",0.09767273,"[126.54268624252312, 131.0657966286025, 127.21479064709078]",0.149239845,"[67.31341772151899, 88.66936708860759, 94.9579746835443]",0.161743674,"[169.71906077348066, 176.59944751381218, 176.56850828729284]",0.291994228,"[22.545405405405404, 28.304324324324323, 19.062702702702698]",0.299349523
E:/Organized Photos/2011/2011-01-19 11-43-51.jpg,"[235.02120141342758, 225.11189634864553, 227.61837455830386]",0.068421842,"[15.729076255424674, 39.82455052696839, 51.119032858028525]",0.132574245,"[130.37920642893025, 96.28377699648418, 76.43696634856856]",0.163387445,"[165.98515376458113, 158.56362672322373, 160.18266171792155]",0.309241496,"[6.5495938961358595, 126.49889244400687, 166.7580605463943]",0.326374972
E:/Organized Photos/2011/2011-01-23 17-24-32.JPG,"[183.4474835886214, 182.0371991247264, 165.2334062727936]",0.105333083,"[136.16262376237623, 130.32103960396034, 118.11410891089108]",0.15741275,"[93.59558657959919, 74.30691285746452, 53.68160324251295]",0.17550625,"[39.62716535433072, 27.80649606299212, 18.650787401574803]",0.199928583,"[252.24244379907492, 251.82284607938035, 230.06980746477353]",0.361819333
E:/Organized Photos/2011/2011-01-23 17-24-50.JPG,"[223.98642340828457, 173.76015577071865, 30.985309807687173]",0.0628055,"[237.7410183612831, 235.27614227340322, 224.52687858204175]",0.063055833,"[84.15337012278104, 81.45917717259607, 82.30740425022819]",0.13992475,"[186.2844909780699, 168.97082583666727, 118.59498657581557]",0.210214667,"[18.73092560729587, 10.618701196763645, 8.091992779374479]",0.52399925
E:/Organized Photos/2011/2011-01-23 17-25-17.JPG,"[238.51260681825033, 232.85214542379998, 213.7116133707759]",0.120356417,"[182.7241469079053, 166.08652522110896, 137.05163425110797]",0.133694583,"[126.23379458151172, 100.33986846792837, 68.33637376370592]",0.1587935,"[30.293217561880596, 19.793109216223744, 13.791843282759352]",0.241976833,"[84.00982673631071, 59.01791148456385, 34.48992879757398]",0.345178667
E:/Organized Photos/2011/2011-01-23 17-31-14.jpg,"[42.11711075047459, 97.48413422171208, 147.4125335099382]",0.114422142,"[183.3147919902901, 193.82949451403942, 216.61891405738334]",0.126232553,"[130.46089154760628, 98.71417791476243, 46.61298301018785]",0.158498197,"[26.955869304573856, 32.58684474780447, 42.128084205769355]",0.241673792,"[134.41118044986825, 125.98114018160759, 112.13400930347085]",0.359173315
E:/Organized Photos/2011/2011-01-23 17-31-33.jpg,"[178.8222745876224, 130.48431105047752, 37.61056678655589]",0.049175933,"[90.93987929433607, 75.44297431135871, 49.75077375425563]",0.084813402,"[31.719497129569046, 27.296780757212378, 22.304265678366388]",0.086287976,"[196.2433204259437, 181.62335430784117, 166.45087124878987]",0.253532388,"[126.96489832618614, 110.97433946603948, 65.64735786415818]",0.526190301
E:/Organized Photos/2011/2011-01-23 17-54-51.jpg,"[229.3400991704901, 231.39371611288783, 237.02956578154723]",0.052214583,"[112.3487397225771, 101.15790799345113, 99.53363438461402]",0.134260417,"[161.45756723526324, 161.4289489676226, 157.87386763521235]",0.1714875,"[49.31100502716288, 50.385773939836156, 66.99855063650357]",0.236289583,"[8.67300587021678, 10.179558876559906, 9.972410572301785]",0.405747917
E:/Organized Photos/2011/2011-01-23 18-31-44.JPG,"[37.9362831858407, 32.94159292035398, 31.286725663716815]",0.080464,"[189.4121061359868, 171.9278606965174, 157.23134328358208]",0.0885015,"[92.9280190362879, 77.83581201665677, 54.986317668054724]",0.124448833,"[133.31647673314342, 111.90004748338082, 81.05080721747387]",0.296390833,"[115.90045248868778, 96.99586858154633, 63.77237851662404]",0.410194833
