Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2013/2013-01-01 00-15-58.jpg,"[220.08563280074574, 216.21700121538825, 217.7751380949123]",0.085834625,"[76.53805453322242, 85.34725948791008, 134.81494321104958]",0.109925294,"[52.82171794277791, 53.26768474611256, 63.585017960361355]",0.156381159,"[132.6120454505045, 107.50366603244619, 91.88376335864292]",0.184046175,"[163.42409392164097, 144.83647765702418, 151.43341525992122]",0.463812746
E:/Organized Photos/2013/2013-01-01 00-16-45.jpg,"[80.18595980134977, 61.830238376898805, 53.720237969944606]",0.157198904,"[141.56063114306497, 22.835155276828253, 32.90773242258988]",0.184822619,"[199.92469530960764, 181.0116037379277, 158.2949448507471]",0.206326518,"[143.07725136213966, 107.744757098348, 87.16118808141408]",0.219120951,"[31.163832766952083, 23.368364282949404, 25.38260311570378]",0.232531008
E:/Organized Photos/2013/2013-01-01 00-18-42.jpg,"[235.78579561552138, 227.22721562631978, 218.06449491898678]",0.107981771,"[73.27763834206023, 52.54033389731278, 55.096460560184]",0.146061198,"[29.376116998202924, 24.63087934560333, 31.08238210324108]",0.190026855,"[176.5025319112492, 134.1037564926209, 121.13087773727474]",0.236641439,"[128.69677580731667, 87.77174173107302, 80.5925858793844]",0.319288737
E:/Organized Photos/2013/2013-01-01 09-57-42.JPG,"[217.99481865284974, 220.94818652849736, 226.59758203799655]",0.0820205,"[129.36047774158524, 124.6758957654723, 117.16286644951141]",0.129446,"[84.92170130497826, 62.88690188496859, 66.28322861285645]",0.142733,"[36.78936360920226, 35.96115924708695, 37.170899312817454]",0.233141,"[176.59797297297297, 177.76891891891893, 176.86908783783784]",0.4126595
E:/Organized Photos/2013/2013-01-01 09-57-52.JPG,"[222.37707727635166, 225.00430612644328, 229.77845409105913]",0.05701975,"[126.4700089237252, 125.23890974158027, 120.02736685710083]",0.11851325,"[37.933134779560476, 36.79053239923564, 37.13883350487182]",0.16429675,"[75.19400545015615, 67.17919023577585, 60.99979771973067]",0.262132917,"[181.06370370067353, 181.9250578390001, 181.68926700446235]",0.398037333
E:/Organized Photos/2013/2013-01-01 09-58-03.JPG,"[141.12869422557034, 29.76716269612031, 45.84637336229403]",0.039489,"[77.80134110843181, 79.09885871288135, 81.6294323345469]",0.0946805,"[153.24990032400447, 149.3658819377939, 144.2004656129274]",0.099787333,"[36.358139486651204, 36.19525296711148, 37.86348262077132]",0.263220667,"[213.258477711327, 213.70739292695976, 214.40310565313774]",0.5028225
E:/Organized Photos/2013/2013-01-01 09-58-15.JPG,"[133.44007490636704, 132.88389513108615, 129.29775280898878]",0.039982417,"[71.55145631067963, 70.9864077669903, 69.76504854368932]",0.042949667,"[181.72280334728032, 183.0962343096234, 184.423640167364]",0.0765275,"[31.36018065487392, 32.05720737674069, 32.56529920963493]",0.213387083,"[212.760162601626, 213.26147390506162, 213.93981117230527]",0.627153333
E:/Organized Photos/2013/2013-01-01 10-19-39.JPG,"[207.08640340087902, 198.98876234312493, 168.69140204890275]",0.105512583,"[114.06531999558271, 103.62575539580315, 77.89863188158414]",0.127944917,"[165.59346152984597, 151.53972452046577, 115.56185015791597]",0.128273417,"[23.5491784372872, 26.486942875692044, 21.98035339199894]",0.297723,"[56.26321269278566, 61.353127234058064, 57.4359626823643]",0.340546083
E:/Organized Photos/2013/2013-01-01 10-19-50.JPG,"[120.28569317431058, 132.45349499287198, 154.26822907611566]",0.096988167,"[101.88619179982274, 83.40348270768308, 70.8326868213039]",0.150981583,"[222.75298808214424, 177.43947511017782, 149.64684235530325]",0.195179417,"[36.82390449440851, 28.543106967657906, 22.890524396372378]",0.225255,"[159.8502337594982, 129.4631240895577, 103.25924042780919]",0.331595833
E:/Organized Photos/2013/2013-01-01 10-22-13.JPG,"[172.40038131553854, 109.70734032411819, 53.25452812202097]",0.056469417,"[229.6392341283171, 183.27443735303996, 125.50722203560633]",0.164447333,"[124.4752380952381, 136.48523809523812, 140.8435714285715]",0.229265167,"[19.672011973487276, 21.131494547787035, 17.02672653410306]",0.260388833,"[66.56086091517452, 69.52866702839572, 61.42593597395551]",0.28942925
E:/Organized Photos/2013/2013-01-01 11-27-14.jpg,"[232.62838787392099, 22.235494880546067, 4.111021883155996]",0.04089875,"[154.52675961322242, 170.93748594558127, 138.02113784573874]",0.073213333,"[57.63370018975331, 79.36971537001901, 82.02140417457301]",0.1036165,"[11.437564602714152, 18.393184622053283, 17.582941549131395]",0.2422075,"[249.4891644108103, 250.93464247790286, 249.51282473116686]",0.540063917
E:/Organized Photos/2013/2013-01-01 15-11-18.JPG,"[101.27141957357817, 89.58948821377368, 77.15339381675416]",0.100658583,"[236.44390304365743, 239.05269797548544, 237.25151356562463]",0.10096375,"[148.8565765093731, 134.8139077050795, 111.13334997713963]",0.1848255,"[32.343619409393064, 32.55701826121801, 34.509916708237576]",0.2702495,"[174.9664747452407, 169.27532075769685, 147.8868932825315]",0.343302667
E:/Organized Photos/2013/2013-01-01 15-11-35.JPG,"[102.50192547745232, 101.86671754104934, 104.92078504899568]",0.071394583,"[160.58367765318522, 143.95063995917198, 130.03076532715895]",0.1290765,"[185.8608461350665, 181.37034081695978, 169.30847883155425]",0.243682333,"[45.143620295306455, 44.305804202862085, 59.76323966946836]",0.254899417,"[207.74461444404952, 206.75241787474462, 202.53041008951004]",0.300947167
E:/Organized Photos/2013/2013-01-01 15-12-08.JPG,"[128.18500604594925, 88.68480451430874, 39.91696896412736]",0.106492417,"[82.21088881600522, 73.019678583142, 56.0016398819285]",0.1254605,"[47.40834792761238, 39.84997081144192, 29.193228254524225]",0.1362955,"[143.53033787369537, 123.73553865204316, 92.36953829824873]",0.225578417,"[181.42329687970297, 167.46182401926356, 132.0792615631584]",0.406173167
E:/Organized Photos/2013/2013-01-01 15-14-01.JPG,"[58.18119490695396, 41.92360430950048, 21.85896180215475]",0.0746035,"[121.07066381156318, 83.78426124197003, 59.506423982869386]",0.133716667,"[153.74615384615385, 111.00054945054943, 78.78406593406594]",0.146963417,"[196.0392357557148, 195.0562947799386, 181.14090754008868]",0.209291833,"[187.5483074753173, 179.35719322990127, 149.0454866008463]",0.435424583
E:/Organized Photos/2013/2013-01-01 15-59-39.JPG,"[135.14400328727777, 123.1239367712775, 98.61510606605349]",0.16235925,"[112.3201696181708, 91.18307966821217, 60.819082987033845]",0.177041,"[47.61401080853803, 32.260702336010496, 28.224859637905265]",0.190318167,"[220.6553497330548, 225.10760375161502, 211.8297002123674]",0.217404083,"[178.5175607777977, 171.69455159271757, 143.04711968956758]",0.2528775
E:/Organized Photos/2013/2013-01-01 15-59-59.JPG,"[76.53372868791693, 60.69384729429206, 44.08598962194217]",0.061576167,"[180.8623718887262, 194.04904831625183, 191.22035139092242]",0.0619745,"[138.08532024310426, 109.18279569892472, 76.17204301075267]",0.1983115,"[176.52135180995478, 174.39352375565622, 150.54355203619917]",0.328886667,"[16.621992203253125, 18.26643366043823, 15.521306627234843]",0.349251167
E:/Organized Photos/2013/2013-01-01 16-00-31.JPG,"[223.53557630392783, 213.09594333547972, 199.21361880231817]",0.1280175,"[54.720370370370325, 37.66888888888888, 25.380493827160464]",0.166165917,"[112.94892086330934, 100.74667266187055, 79.86025179856118]",0.22354025,"[173.53533885992655, 152.91393897957445, 131.4272284420136]",0.23703275,"[133.52949496630328, 40.73308927531409, 35.569847741076615]",0.245243583
E:/Organized Photos/2013/2013-01-01 16-00-42.JPG,"[47.507246376811594, 33.802536231884055, 21.17663043478261]",0.0879245,"[104.82550624730722, 90.52778974579924, 69.57992244722107]",0.177032167,"[212.5250757320768, 203.3574554022215, 184.3665432514305]",0.220817667,"[110.64846830451924, 36.01031240521686, 33.80618744313012]",0.2498515,"[151.23017408123792, 134.81901077645756, 113.12462006079024]",0.264374167
E:/Organized Photos/2013/2013-01-01 16-00-53.JPG,"[253.04075409873332, 252.7135494294194, 249.5193360108313]",0.03945075,"[126.58138343657107, 101.5318188299036, 92.84510664364282]",0.085091,"[71.02633081894855, 58.38154564435135, 41.21288109779883]",0.143856917,"[163.97518169490024, 162.92972905124847, 146.57999744039722]",0.365012583,"[20.405302347814928, 24.033549668143714, 27.06370294105035]",0.36658875
E:/Organized Photos/2013/2013-01-01 16-01-03.JPG,"[253.33333333333334, 254.2454780361757, 231.0413436692506]",0.032464833,"[61.33407904548844, 35.36167039522744, 11.413124533929903]",0.106103833,"[227.6928039702233, 195.07791563275435, 75.22133995037221]",0.168419667,"[112.1442542787286, 68.98428222144604, 24.33112120153685]",0.230534667,"[181.07110172474475, 141.07919746568106, 59.099788806758184]",0.462477
E:/Organized Photos/2013/2013-01-01 16-01-13.JPG,"[118.42146257031588, 97.18087408048463, 80.64777152747726]",0.141972833,"[19.562298025134652, 21.661400359066427, 22.96983842010772]",0.17191825,"[87.06218434343435, 66.68023989898994, 37.13289141414142]",0.191967167,"[182.21185402890026, 179.75336762184673, 152.20769042370807]",0.242657333,"[152.20807530344314, 150.64478573197914, 136.63636363636363]",0.251484417
