Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2012/2012-01-09 16-27-46.jpg,"[221.86836726254418, 217.1027801079907, 227.11792124011967]",0.092364575,"[126.94368087169207, 117.93079201709585, 102.88488931083877]",0.161778204,"[166.8574406995185, 162.66495621267765, 156.4211805727174]",0.244266188,"[82.27066468369479, 70.66684094558761, 56.79315655006824]",0.245228153,"[30.981677555321394, 28.33894625922018, 13.075127502634384]",0.256362881
E:/Organized Photos/2012/2012-01-15 09-26-54.jpg,"[166.36764083015666, 186.34815756035576, 217.272765777213]",0.099953102,"[241.71066342480026, 251.43834664814173, 253.31538728725255]",0.121911947,"[144.33729677262798, 137.8391167192428, 147.19873817034699]",0.173577942,"[89.4870621872766, 62.31779842744816, 43.52108649035024]",0.296019762,"[29.782101167315172, 17.351306281267373, 12.626042245692048]",0.308537247
E:/Organized Photos/2012/2012-01-18 10-59-35.jpg,"[137.39325891311844, 117.13477847005875, 99.26752336448591]",0.108045764,"[76.29581803880447, 63.14561484006292, 48.4917409543786]",0.142962503,"[164.98471809150155, 168.78054799721568, 169.68477504271345]",0.149620456,"[202.41449618875754, 211.57200958870934, 217.1640315673232]",0.173082284,"[16.025551227920875, 18.425381031868135, 6.06596188044819]",0.426288993
E:/Organized Photos/2012/2012-01-18 10-59-41.jpg,"[153.2568518227235, 159.13400988246244, 161.98308988774235]",0.130895788,"[132.96478565448055, 110.60703233744833, 83.64208344230644]",0.135098052,"[73.48843412325127, 60.388114013595754, 45.84150109706169]",0.140215509,"[185.80526756060385, 198.98623206899123, 208.32494957872973]",0.266079379,"[14.79818490500264, 18.614257526016768, 6.152477734495192]",0.327711271
E:/Organized Photos/2012/2012-01-18 10-59-46.jpg,"[153.24582334177512, 156.95008994051997, 160.27644403033793]",0.133728636,"[134.4654621572313, 108.99133877575389, 86.877411560659]",0.148083571,"[71.30537711565175, 58.13768195175276, 45.297128636187615]",0.155124018,"[186.07654550165722, 197.88991812756976, 207.41333472559032]",0.227935526,"[13.784178296368392, 15.684974096543442, 5.2478673093262245]",0.33512825
E:/Organized Photos/2012/2012-01-20 09-21-16.jpg,"[153.05649303008073, 144.33235509904625, 163.50623624358033]",0.11220361,"[185.58510028653293, 182.94498567335242, 207.4458452722063]",0.138967575,"[114.2706172839506, 104.78320987654321, 115.97481481481483]",0.161974238,"[67.29529993815709, 58.110698824984546, 59.536487322201616]",0.262991326,"[30.454730935985722, 28.68145881152767, 22.484570262688084]",0.323863251
E:/Organized Photos/2012/2012-01-20 11-12-05.jpg,"[249.24718256949663, 247.68519909842226, 251.50262960180322]",0.097801589,"[168.8591006423983, 154.97344753747322, 172.27665952890794]",0.172927057,"[58.76396648044693, 54.047486033519554, 60.94378491620112]",0.216342653,"[91.86891757696128, 83.21747765640515, 92.99536577292288]",0.232899013,"[126.8409997341133, 116.82398298324915, 128.01329433661263]",0.280029689
E:/Organized Photos/2012/2012-01-20 11-12-56.jpg,"[168.81297861103775, 171.6088592553472, 201.60727488777405]",0.090597753,"[225.60957071628354, 232.03259151161373, 250.02122096558432]",0.099560876,"[126.6679498460184, 122.34070244903941, 137.73298870802165]",0.166067733,"[94.72793602614993, 88.10806288427113, 96.40326095415983]",0.311740033,"[60.86812771924779, 56.37602027974543, 65.87711696810621]",0.332033604
E:/Organized Photos/2012/2012-01-20 11-14-45.jpg,"[148.55643211942515, 144.77717063397196, 173.76563490166149]",0.09150557,"[105.03025016635779, 96.82033793140639, 117.48945200798548]",0.155201396,"[68.8385527265562, 58.84631681956402, 70.34349813729582]",0.214927877,"[32.373078747139004, 27.08361616869771, 30.167412417262845]",0.247369151,"[197.70322287120774, 194.01658891910108, 229.0521164087162]",0.290996006
E:/Organized Photos/2012/2012-01-20 11-15-10.jpg,"[157.6520915798735, 153.2161236636951, 170.4318552474064]",0.092133383,"[114.716201853266, 108.3748035209054, 119.13134159668289]",0.100167186,"[214.5145405820532, 210.19514454654308, 235.5516533031155]",0.14112521,"[70.34217838052015, 61.014509734332634, 60.07224116933549]",0.314303706,"[41.44342944623366, 32.72530489375643, 27.571181481049237]",0.352270516
E:/Organized Photos/2012/2012-01-20 14-19-26.jpg,"[129.61184258918726, 132.81346083118797, 136.91371827877902]",0.139044325,"[50.921229586935645, 54.73952560407892, 52.84681888716473]",0.139064729,"[103.98782950084127, 98.77616376892884, 99.01166573191254]",0.17994663,"[79.40705143232212, 78.92568803038114, 77.80814853017017]",0.221222169,"[161.03391088310255, 168.80447197754322, 176.9116252056916]",0.320722148
E:/Organized Photos/2012/2012-01-20 14-23-11.jpg,"[203.57121343535346, 196.90508934724267, 181.43239847444337]",0.126951869,"[184.57924172295913, 94.67240534567566, 107.91246299307817]",0.141486045,"[140.20985836338943, 148.7647452177192, 165.636596453038]",0.157820002,"[79.33711680671901, 86.79170321797004, 99.06654255762528]",0.187376164,"[129.75640414716545, 109.73147798883308, 116.17932280530535]",0.386365919
