Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2008/2008-03-01 08-05-53.jpg,"[176.60373774361233, 177.80665623913814, 177.16332217830265]",0.117330041,"[136.61559625562708, 137.8096534733086, 136.91771386617768]",0.123492582,"[90.742897204974, 90.65671075595718, 89.85957155360374]",0.180748959,"[48.32318406398661, 51.68536177656145, 58.77638075321172]",0.265014523,"[15.980988465188808, 17.265288691876272, 14.511951763652679]",0.313413895
E:/Organized Photos/2008/2008-03-01 08-06-05.jpg,"[30.29625112277229, 63.736123886513774, 141.45882178144342]",0.126961916,"[189.43276506572022, 189.68548040753456, 189.40602405243993]",0.14666949,"[129.64802830897463, 127.76882538759173, 127.07959152346531]",0.214050419,"[81.8667211139803, 79.67243687640159, 77.06249938784475]",0.226903091,"[26.054969393054442, 27.307999758562786, 25.062856142275834]",0.285415084
E:/Organized Photos/2008/2008-03-01 08-06-11.jpg,"[125.72066616199848, 127.18168054504163, 126.19379258137775]",0.087357007,"[166.53102547354672, 167.8582625734814, 167.18549967341605]",0.100955288,"[83.59895606785557, 84.33101348412353, 83.33579817311875]",0.153233281,"[46.06246172688304, 47.73086344151868, 50.64758113900796]",0.203928127,"[11.887080512746651, 13.213596428057036, 10.05919631283307]",0.454526297
E:/Organized Photos/2008/2008-03-01 08-06-47.jpg,"[150.26725082146766, 143.48411829134724, 144.72946330777657]",0.071234935,"[113.20234869015357, 98.71364046973804, 98.8166214995483]",0.092661163,"[41.07634470792365, 28.164835164835164, 22.715442452284556]",0.137570479,"[79.08751864743908, 61.6613625062158, 59.03281949278965]",0.156224883,"[4.455422794117648, 4.699754901960786, 1.7889093137254901]",0.542308541
E:/Organized Photos/2008/2008-03-01 08-06-56.jpg,"[115.49208494208496, 108.08455598455605, 108.73243243243246]",0.117190891,"[149.70184166884877, 140.49917081260372, 141.23845683861396]",0.130824085,"[76.89455223880599, 66.8215671641791, 66.12552238805971]",0.154268367,"[49.04295812941813, 34.94501087547582, 31.27243066884177]",0.169238809,"[8.170299911077585, 6.43388752660936, 2.8890625421034195]",0.428477849
E:/Organized Photos/2008/2008-03-01 08-07-07.jpg,"[148.7180645799665, 137.73356940892205, 136.41200687237864]",0.061928832,"[95.67464832071273, 77.99118878618135, 74.78693620082407]",0.08757804,"[65.53157291543374, 46.249454995048204, 41.13271804869537]",0.119380621,"[29.39702777003071, 20.151148510720933, 13.884234900382742]",0.157366717,"[3.4420363240014087, 3.5463808821319662, 0.9613406001762094]",0.57374579
E:/Organized Photos/2008/2008-03-01 08-07-53.jpg,"[97.99053585156592, 98.78987126858551, 97.94970807621176]",0.150607262,"[60.80928160833058, 60.59406650070871, 58.93907851761407]",0.1546661,"[26.7907649809572, 28.220266682043828, 29.716083299696084]",0.161247348,"[138.99266152353775, 140.8533959151106, 140.14682052235003]",0.197371118,"[6.339300344234726, 7.255165767075016, 4.463674910830161]",0.336108172
E:/Organized Photos/2008/2008-03-01 08-07-59.jpg,"[150.74603137424845, 151.78117076655522, 151.36664773359362]",0.134678593,"[189.59108187388225, 190.347398445953, 190.02621514820157]",0.137537827,"[109.70396379208853, 109.30024253617749, 108.29739096019993]",0.154347863,"[57.84751072340841, 61.43947353432145, 69.76933389999105]",0.17629917,"[14.995713272549063, 16.175107511988916, 13.702970258127012]",0.397136547
E:/Organized Photos/2008/2008-03-01 08-09-16.jpg,"[20.523775582934533, 47.627227369921656, 117.40688320944919]",0.032392839,"[112.1995675286061, 107.87845751869536, 108.04806739345887]",0.149772613,"[70.3791699070853, 57.94918341451431, 54.239245221235294]",0.161993082,"[175.21197534152765, 171.30221850146484, 171.7808706571787]",0.177040131,"[10.25043418822494, 8.434320748268473, 4.67515745862134]",0.478801335
E:/Organized Photos/2008/2008-03-01 08-09-22.jpg,"[150.44923359066135, 149.0125202909498, 149.81347443030413]",0.107449253,"[192.90832248687911, 189.45722639425932, 190.23543697609747]",0.140126044,"[107.56653511045138, 100.57286311616652, 99.855138746866]",0.152633855,"[58.95744260126704, 57.09743784884979, 69.59996776332315]",0.160987006,"[11.10896853127702, 9.718056331411663, 5.328585702584854]",0.438803842
E:/Organized Photos/2008/2008-03-01 08-09-34.jpg,"[114.03769513814066, 107.66982412449298, 108.32898009335653]",0.103672608,"[150.5814116117656, 139.62862820982156, 140.08283936136107]",0.115655091,"[50.99853363979539, 35.55768606776909, 30.948133584623083]",0.149568409,"[78.91069170408389, 70.29704725336241, 69.53998618277973]",0.155993426,"[8.014711680922035, 6.994267390235375, 2.692526262672921]",0.475110466
E:/Organized Photos/2008/2008-03-11 15-33-28.jpg,"[215.78833333333338, 187.55833333333337, 156.63833333333338]",0.048394097,"[164.56614119259768, 123.01028101439343, 82.93968471555861]",0.116102431,"[109.38280725319007, 86.91336467427804, 50.86165211551377]",0.124421296,"[65.39168638053398, 37.58972625887124, 16.463670158837445]",0.236038773,"[24.54315862307559, 19.211209133367923, 8.470160871821482]",0.475043403
E:/Organized Photos/2008/2008-03-11 15-33-30.jpg,"[173.57393111638945, 176.73456057007115, 190.33076009501175]",0.071397569,"[221.22060957910006, 231.21673923560715, 246.3979196903725]",0.088614005,"[68.01006014215419, 63.45226899945325, 57.83269546200109]",0.190393519,"[135.14082051282043, 128.28194871794867, 114.02625641025638]",0.203776042,"[15.94841470710046, 15.94477934747596, 11.556946297915426]",0.445818866
