Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2010/2010-01-05 03-21-32.JPG,"[171.5618494912875, 174.55141211554198, 172.29271430242065]",0.107412963,"[119.71441602220924, 120.81594289113626, 117.65642144226325]",0.119800926,"[30.193344609051785, 28.068781882773255, 25.010222865255127]",0.230367593,"[73.75488676763604, 72.99440023961768, 67.397869486515]",0.242842593,"[218.9489764773986, 220.4755617534075, 219.30820396779458]",0.299575926
E:/Organized Photos/2010/2010-01-25 04-27-03.jpg,"[249.88531067865267, 248.71579571273358, 237.6763805196089]",0.05367227,"[146.22765277463935, 128.76505148981494, 98.85137359976757]",0.166415501,"[62.158955693987544, 42.49196239005154, 25.683325167401602]",0.22818912,"[100.0921211309125, 90.24494171244807, 68.55551833489659]",0.239125611,"[184.1339634307924, 162.21835526896922, 124.49041604098568]",0.312597499
E:/Organized Photos/2010/2010-01-25 04-27-17.JPG,"[250.91130119413214, 246.657824472296, 231.08198888492774]",0.045355667,"[148.2051205532166, 144.40564686555982, 129.87673196145352]",0.212790583,"[44.625899686925045, 31.67330561203817, 22.326271216832144]",0.218885917,"[86.36781615787844, 84.39076119107061, 74.71270203083738]",0.238004083,"[119.53090310717982, 117.82202037415833, 106.56948636835622]",0.28496375
E:/Organized Photos/2010/2010-01-25 04-28-04.JPG,"[89.73390155913741, 68.87229628253361, 52.57894777586839]",0.04712075,"[216.7698944905191, 221.14224966625687, 227.13918282983897]",0.070757167,"[130.97019942512827, 116.54988906947906, 102.31033222949262]",0.229611917,"[174.85157166825303, 163.37044879509926, 153.22734939867567]",0.2437605,"[149.87060233946332, 135.5928996017521, 121.4346383158155]",0.408749667
E:/Organized Photos/2010/2010-01-25 04-28-20.JPG,"[154.44127055601726, 136.93153490505335, 118.2426413477249]",0.179510083,"[201.16883180800917, 204.0667355701565, 201.36412160354647]",0.190669833,"[184.86414612874304, 175.74845152073172, 161.0093403677057]",0.193641917,"[129.61787151227344, 99.81870794542526, 75.85476635772031]",0.216334417,"[112.91597586495514, 77.49233886718746, 47.895902622767885]",0.21984375
E:/Organized Photos/2010/2010-01-25 04-28-29.JPG,"[158.62876254180603, 182.2541806020067, 224.4983277591973]",0.024167417,"[252.9937712344281, 247.12740656851648, 231.43827859569654]",0.138554667,"[196.3127731908693, 148.79213210296257, 110.61291889266636]",0.1726805,"[84.32592838196285, 48.04144562334217, 31.61140583554376]",0.243422917,"[146.55147630147636, 101.79817404817405, 69.44735819735821]",0.4211745
E:/Organized Photos/2010/2010-01-25 04-29-00.JPG,"[122.42180094786731, 91.09952606635072, 65.71563981042652]",0.017653333,"[161.5804360636417, 130.62581025338835, 106.80730701237479]",0.14181225,"[216.92136752136747, 188.23931623931622, 155.9082621082621]",0.14879425,"[175.29634966378478, 145.34269932756962, 123.70244956772335]",0.337699583,"[189.06702533064333, 159.6944631248598, 137.42927594709707]",0.354040583
E:/Organized Photos/2010/2010-01-25 04-29-56.JPG,"[233.65187637969083, 234.66026490066216, 231.12052980132447]",0.084264333,"[124.88307086614176, 114.01627296587928, 96.44724409448817]",0.14205975,"[169.77022928545423, 168.63350721824577, 159.73977920659956]",0.154472917,"[92.50666581616379, 74.60706767876502, 52.82726286917139]",0.2861985,"[149.34496209207776, 144.16278430941654, 123.94577518953962]",0.3330045
E:/Organized Photos/2010/2010-01-25 04-30-22.JPG,"[251.23375262054512, 242.5870020964361, 223.85324947589103]",0.0842095,"[165.21841155234657, 151.70397111913357, 125.39440433212997]",0.090425917,"[228.03806672369547, 203.59580838323353, 164.5393498716852]",0.179126583,"[110.10233711048156, 96.82082152974505, 81.20786118980168]",0.2328075,"[84.17061611374407, 67.08432069510266, 50.0922195892575]",0.4134305
E:/Organized Photos/2010/2010-01-30 14-25-39.jpg,"[238.46278458844122, 239.96278458844134, 236.61646234676007]",0.100902083,"[145.94998275267332, 161.64746464298034, 181.3918592618144]",0.131620833,"[51.366079923882026, 84.80328258801143, 152.8280209324453]",0.1833625,"[82.17583819241982, 80.50911078717202, 79.77077259475219]",0.244204167,"[29.797073043251018, 34.640663791977, 48.26734613876912]",0.339910417
E:/Organized Photos/2010/2010-01-30 14-25-44.jpg,"[233.64314628974614, 237.80814116871161, 234.84981780262262]",0.127143224,"[135.26595243559234, 144.2310964292466, 157.02615760591584]",0.146831195,"[49.203512291624705, 83.47343944128782, 149.89663548307948]",0.151236216,"[26.03447416222443, 31.845244606102234, 44.95481052444287]",0.281566302,"[76.36981262072622, 73.08355581802596, 69.56818591928216]",0.293223063
E:/Organized Photos/2010/2010-02-03 01-43-33.JPG,"[233.06221198156683, 241.2741935483871, 249.88863287250385]",0.105534333,"[35.574412532637076, 23.227154046997388, 22.374412532637074]",0.15167325,"[181.91710388247637, 145.4868835257083, 125.17051416579224]",0.15710625,"[97.22724586288416, 54.52157210401891, 24.52807328605201]",0.273148417,"[144.64004231684734, 98.0161332980693, 66.02539010843692]",0.31253775
E:/Organized Photos/2010/2010-02-03 01-44-18.JPG,"[127.43641003136847, 98.32005461017074, 72.86188177548061]",0.026233667,"[240.12418646412166, 217.73944526681123, 194.7095828581136]",0.044026833,"[210.692398727302, 185.4270396813079, 153.16951698225455]",0.132891083,"[168.94959048499905, 143.1041082709547, 119.169166935732]",0.33063825,"[185.19593253672372, 159.20117467156902, 136.56410081021497]",0.466210167
E:/Organized Photos/2010/2010-02-03 01-44-48.JPG,"[230.90628115653035, 225.65403788634097, 223.41475573280158]",0.067275417,"[102.03299725022914, 73.72227314390466, 62.51145737855179]",0.0766045,"[198.37972262075564, 182.8804399808704, 169.89909134385462]",0.145648167,"[155.79316076941348, 131.4533364996438, 108.75255283780575]",0.292304333,"[183.5294612794613, 153.58468013468016, 124.13804713804713]",0.418167583
E:/Organized Photos/2010/2010-02-03 01-46-40.JPG,"[221.9020559239791, 227.35746147366916, 223.69196137283]",0.0759865,"[150.90234105202, 133.56178583978587, 121.84867073806156]",0.151303667,"[45.65926345867911, 34.9329578775117, 31.672875808849938]",0.214523667,"[81.56007201998763, 66.9675592009244, 58.0891821596809]",0.250249833,"[112.55804135353694, 98.18959816517003, 84.03771967611081]",0.307936333
E:/Organized Photos/2010/2010-02-03 01-46-51.JPG,"[246.42017368069486, 251.76486305945227, 252.58650634602543]",0.041892917,"[51.977601493233784, 51.596360242650476, 57.81287914139056]",0.060393667,"[154.08959402706475, 130.93058796080263, 109.59997666822213]",0.238959,"[185.59380344029785, 172.84005633236097, 157.89749522180864]",0.280751583,"[120.77818367794258, 89.67772338715571, 65.8747716811573]",0.378002833
E:/Organized Photos/2010/2010-02-03 01-48-04.JPG,"[232.1028232264351, 233.9047072992606, 234.78381849863638]",0.051741083,"[163.63547103413762, 164.59107955766086, 159.97574703589595]",0.08135375,"[47.84415232668213, 43.72673019143721, 38.37038384380147]",0.124995333,"[107.34756220026999, 93.78938948438645, 73.53818662191559]",0.35812575,"[133.21781885349324, 127.13422823151828, 112.02950738734903]",0.383784083
E:/Organized Photos/2010/2010-02-03 02-12-20.JPG,"[247.6314064686013, 248.87725807528116, 247.18016440450214]",0.09342875,"[38.59258967780525, 38.844847034874, 44.00705040425195]",0.116959917,"[196.05616116467775, 170.07709503593185, 147.83494036974741]",0.189447667,"[112.44232097738731, 78.95646190191714, 53.536658316462166]",0.206889917,"[156.27646921553932, 127.45451021130188, 99.03780747448796]",0.39327375
E:/Organized Photos/2010/2010-02-05 10-12-34.JPG,"[245.0846063454759, 219.49764982373677, 183.57520564042304]",0.121097,"[99.37967914438505, 81.43048128342247, 65.0561497326203]",0.121869167,"[190.3045584045584, 175.0601139601139, 159.39316239316238]",0.22709625,"[162.54844704008494, 127.76241040615871, 88.86594106716218]",0.233927083,"[25.632897362003995, 24.78186654843715, 26.682997118155622]",0.2960105
E:/Organized Photos/2010/2010-02-05 12-59-33.JPG,"[107.99962553195603, 160.26071793979673, 220.06544372651229]",0.080432667,"[243.7137406365178, 234.3740111808559, 204.7522428442851]",0.084840167,"[131.56707024830217, 102.52603475612507, 84.27496579168977]",0.204548333,"[194.9758030041388, 156.3907731057315, 103.83950036112708]",0.261331333,"[47.59371798887378, 30.896408717272692, 25.533799910881875]",0.3688475
E:/Organized Photos/2010/2010-02-05 12-59-45.JPG,"[241.05091770278267, 241.26465364120773, 228.16400236826522]",0.110850583,"[76.77238968982086, 59.496286588029704, 57.3826998689384]",0.14836075,"[40.72893772893773, 26.212454212454208, 18.747619047619054]",0.17850525,"[150.80496651785714, 111.34598214285714, 97.80859375]",0.241958833,"[203.44731649565904, 158.86602209944755, 125.03078137332281]",0.320324583
E:/Organized Photos/2010/2010-02-05 13-00-15.JPG,"[243.88536155202846, 244.00275888132998, 227.91934996220692]",0.132506333,"[192.3833802988221, 151.48207878038394, 108.78744906440681]",0.16104525,"[74.08142958594988, 51.77425532424216, 41.39253768262817]",0.208664333,"[224.51534003630746, 196.24886887306226, 158.7049364613879]",0.239200833,"[146.28864333787214, 90.53293764292752, 116.54068422732882]",0.25858325
E:/Organized Photos/2010/2010-02-05 13-00-46.JPG,"[251.94794819376, 247.5698113439215, 217.8901378648441]",0.117365917,"[41.398165472730255, 30.52610082147715, 26.466930681621065]",0.184329,"[229.55636781728074, 200.80917329471995, 153.5041136911339]",0.1885105,"[138.27853104277082, 89.62864150899067, 66.05775869162274]",0.217758333,"[172.98882005839755, 168.32236649228844, 153.58198101329185]",0.29203625
E:/Organized Photos/2010/2010-02-06 11-01-26.JPG,"[226.57613535173647, 238.4096170970615, 234.53250222617993]",0.06019525,"[186.8770538243626, 181.88328611898018, 172.1235127478753]",0.095679833,"[144.07103610675037, 126.96036106750394, 107.96585557299844]",0.13687075,"[97.61686349903867, 77.1109585278769, 52.02032408678934]",0.20571225,"[34.19935863174773, 19.577765900587924, 9.13618385889899]",0.501541917
E:/Organized Photos/2010/2010-02-06 11-05-38.JPG,"[126.32492599917518, 95.52609267766105, 84.73664899051579]",0.0975955,"[176.53065233123232, 168.00763394368445, 154.1864376888978]",0.12841725,"[232.93434494106552, 227.2384498646388, 221.5517252241644]",0.141843417,"[223.1551921302122, 132.36754249556853, 195.8703849760778]",0.173186,"[32.182308267156316, 20.588477234257148, 13.717546323807529]",0.458957833
E:/Organized Photos/2010/2010-02-06 11-16-24.jpg,"[178.93568464730293, 184.01106500691563, 178.38035961272476]",0.125288963,"[118.91827956989248, 123.1715053763441, 118.54193548387099]",0.152724584,"[148.75710227272725, 154.45975378787875, 150.44128787878785]",0.174602509,"[80.27732154137713, 82.10012634238785, 76.15571699305117]",0.261725426,"[44.07775377969763, 45.20977321814255, 39.14524838012959]",0.285658518
E:/Organized Photos/2010/2010-02-06 11-17-31.jpg,"[38.25983479081151, 39.51861152894975, 32.0071514162608]",0.082954407,"[61.512871274061524, 63.19255109245813, 56.59211160163396]",0.16145579,"[103.74695821384684, 107.23993240475211, 102.7958111429742]",0.202945709,"[81.79582559453442, 84.24493135739591, 79.11426146965714]",0.240482966,"[127.38617600273436, 131.27936227273298, 126.0708191462788]",0.312161128
E:/Organized Photos/2010/2010-02-06 11-17-42.jpg,"[98.86330948774975, 101.53227209744472, 98.60891094426366]",0.138613701,"[46.47930366593845, 46.45014256755019, 38.90784033219326]",0.182756742,"[125.8801030360261, 129.68187171176191, 128.51077575991758]",0.202372233,"[71.81466873158693, 71.6509395854876, 63.72093320669312]",0.237867991,"[153.18119448942494, 156.98014500220768, 153.04057792335195]",0.238389333
E:/Organized Photos/2010/2010-02-06 12-33-57.JPG,"[218.05885885885886, 218.5567567567568, 210.4276276276277]",0.11920075,"[36.14156626506024, 30.818846815834764, 26.595524956970735]",0.157557917,"[142.96700336700337, 138.4511784511784, 125.35420875420876]",0.187248583,"[105.4998666311016, 89.92558015470792, 77.03841024273139]",0.243029917,"[182.32803095442821, 182.70593293207224, 170.13478073946686]",0.292962833
E:/Organized Photos/2010/2010-02-06 12-34-09.JPG,"[32.125153648361064, 27.306820432327005, 19.477188026312152]",0.104659167,"[182.53838915008185, 181.64971523859313, 169.58763085285318]",0.116625917,"[245.01736876670395, 245.7664698796471, 245.4825241184089]",0.123968,"[98.03573562646575, 92.90439030630397, 75.47361239428628]",0.300208667,"[131.18180846997882, 129.86374087295448, 115.91938951596288]",0.35453825
E:/Organized Photos/2010/2010-02-06 12-34-18.JPG,"[19.96365597643448, 17.8799941915944, 17.28299381819689]",0.067584333,"[73.87305730042159, 68.51067563183788, 53.44123978884651]",0.094984917,"[194.20134741183156, 200.85845954209344, 186.79259990045517]",0.153212583,"[111.80340214365312, 106.55822582198599, 93.31011424561648]",0.294979,"[147.44720486019915, 144.36927709788674, 132.14442635292482]",0.389239167
E:/Organized Photos/2010/2010-02-06 12-35-14.JPG,"[28.481596965327597, 21.90146300510587, 19.477995959573224]",0.0780245,"[126.4495801346763, 123.66940298601914, 111.31278102155669]",0.080434167,"[51.02999127936812, 49.15973632912712, 41.56225377039089]",0.085283833,"[95.72853808440982, 87.23776453291886, 68.79354167887942]",0.289366667,"[179.88184372821823, 177.98861171968804, 171.1053057839447]",0.466890833
E:/Organized Photos/2010/2010-02-08 06-24-56.JPG,"[231.33695652173913, 239.43840579710144, 241.18840579710144]",0.025459417,"[107.11, 120.33500000000002, 130.39071428571427]",0.1122255,"[66.61123267687819, 69.16849015317287, 71.09700948212982]",0.1126315,"[26.897910243233984, 26.192189105858173, 25.253854059609456]",0.237382917,"[137.7540335336918, 164.5311610249921, 188.64093641252768]",0.512300667
E:/Organized Photos/2010/2010-02-08 06-25-04.JPG,"[70.55355260968442, 72.56427739435688, 74.54008621031198]",0.11003725,"[138.8640744472072, 157.66255335752012, 173.40535118420172]",0.14958425,"[22.58269386574072, 22.042138310185166, 21.890332754629636]",0.150749583,"[180.119644315686, 215.72373140759066, 236.16479475989433]",0.165288667,"[107.9552211779349, 130.0428733840568, 150.50364574491627]",0.42434025
E:/Organized Photos/2010/2010-02-08 06-25-34.JPG,"[29.567999999999998, 41.195999999999984, 52.14399999999999]",0.029338167,"[72.44075304540421, 101.88372093023257, 127.02104097452934]",0.0491545,"[99.26381834478637, 138.84403943830296, 172.82730803704808]",0.178786167,"[114.79367639941928, 159.82529440232292, 197.96273592514925]",0.330233583,"[127.35934785513831, 172.87505011359082, 211.67967392756916]",0.412487583
E:/Organized Photos/2010/2010-02-08 06-25-44.JPG,"[44.908323325703485, 59.824338802526434, 66.72657613231212]",0.06203225,"[91.91121961668195, 115.66799729331075, 137.7263736691705]",0.093173167,"[130.35333967527214, 165.79392412463875, 199.92046514162806]",0.23312125,"[117.9630166777998, 147.20849221334615, 173.67248759201863]",0.26368625,"[148.08940740229406, 181.89945926534745, 209.7440778826565]",0.347987083
E:/Organized Photos/2010/2010-02-08 07-34-03.JPG,"[243.2194092827004, 204.1518987341772, 129.64978902953587]",0.017088,"[152.35241730279898, 118.4643765903308, 80.87659033078882]",0.064948917,"[91.56172592888534, 81.52057530962846, 71.59568517778665]",0.199923333,"[58.14136791253495, 51.03127383676583, 40.33790999237224]",0.31899975,"[12.167322427003521, 12.094429488506938, 10.229447090494926]",0.39904
E:/Organized Photos/2010/2010-02-08 07-34-13.JPG,"[212.20718775401275, 209.82896198258874, 199.97390840329356]",0.09630375,"[126.06323352129698, 102.83486224602885, 79.59922142360422]",0.194891833,"[25.748094091331915, 15.895396313791393, 10.688046376876756]",0.211457333,"[158.683291410355, 154.2974248499487, 144.29204791671816]",0.236268417,"[78.40725487126078, 60.30939852097924, 43.606480189336345]",0.261078667
E:/Organized Photos/2010/2010-02-08 07-34-25.JPG,"[249.77670680019907, 250.06432294554764, 247.32725142364]",0.100878,"[170.35101547879106, 167.8009667714567, 157.5262113068617]",0.160848,"[133.16565071501662, 123.78102727084635, 109.1776245268367]",0.181241583,"[93.90194847413943, 71.24713336401024, 48.25674253277402]",0.260936833,"[25.730880167675576, 16.998369639276554, 11.14056953934604]",0.296095583
E:/Organized Photos/2010/2010-02-08 07-34-52.JPG,"[213.69450561140332, 149.8866265978764, 68.48605216034592]",0.064342333,"[167.3693025832623, 169.61206863858789, 164.79069418497753]",0.141305667,"[120.53436957436045, 114.07136771953267, 102.60640589446892]",0.172536417,"[25.550042534139283, 22.432604532000134, 17.19198467776032]",0.231173083,"[82.96593034411676, 64.19319974953791, 45.26118588407522]",0.3906425
E:/Organized Photos/2010/2010-02-08 23-23-02.JPG,"[198.75935390973686, 211.90711490690063, 209.85439886566027]",0.045851667,"[137.48711976018402, 138.4231706717777, 129.69930709125694]",0.102644083,"[115.15233422425581, 105.38829431513463, 101.63945788083579]",0.112914833,"[128.305512131486, 122.03172973149772, 117.25122005283603]",0.345144833,"[124.4999493594289, 115.17554970660525, 110.07206730196009]",0.393444583
E:/Organized Photos/2010/2010-02-13 00-28-46.JPG,"[184.62303713604942, 191.47885163015073, 186.58280932178732]",0.105700417,"[243.15472319084722, 246.23780119891822, 244.34152724993135]",0.15611725,"[61.80551076780778, 63.63898783856411, 62.94447985801232]",0.198179917,"[137.94381616343668, 141.54208712530112, 133.18047454471622]",0.248267833,"[102.08048019085817, 107.5360904545569, 103.02623029872346]",0.291734583
E:/Organized Photos/2010/2010-02-13 00-29-13.JPG,"[159.9195849546044, 166.4669260700389, 170.00259403372243]",0.104039167,"[231.01134215500946, 235.9760554505356, 236.2539382482672]",0.108336333,"[46.328762541806014, 47.92642140468227, 48.06622073578595]",0.21546925,"[79.54658573596359, 81.59393019726859, 80.4133535660091]",0.229528333,"[115.41182446160097, 117.4681023973994, 114.1176351076798]",0.342626917
E:/Organized Photos/2010/2010-02-13 00-29-18.JPG,"[177.57573852922687, 184.3595223130107, 185.7309868007543]",0.079222667,"[237.13466666666665, 240.97933333333333, 240.016]",0.08203475,"[123.63381099922542, 126.27711076684741, 122.24883810999226]",0.265011333,"[91.3031403158468, 93.68996188055911, 89.86767108368124]",0.281854333,"[45.64476458186929, 47.666725228390725, 47.538650737877724]",0.291876917
E:/Organized Photos/2010/2010-02-13 00-29-40.JPG,"[231.3006230529595, 238.03193146417445, 240.10591900311525]",0.095564833,"[133.763564181738, 143.12968681076313, 148.6669607410675]",0.17173825,"[172.63053563897088, 187.12526360185578, 194.77983973007173]",0.17811625,"[97.05641330166272, 98.75326603325416, 96.88479809976248]",0.250597833,"[69.70885131775236, 70.5206364992541, 67.92640477374437]",0.303982833
E:/Organized Photos/2010/2010-02-13 00-30-48.JPG,"[93.08795411089866, 96.54302103250478, 100.5685149776928]",0.133234083,"[136.4954268292683, 139.21544715447155, 142.0533536585366]",0.156530333,"[15.287088607594937, 14.493670886075948, 13.860253164556962]",0.15972975,"[48.731191885038044, 48.81699070160608, 49.259932375316986]",0.193761083,"[215.11927437641725, 215.27845804988664, 215.07528344671198]",0.35674475
E:/Organized Photos/2010/2010-02-13 00-30-56.JPG,"[44.10289479016647, 41.75865092700365, 39.17412674816228]",0.104566667,"[104.51386146401694, 108.5782261779872, 112.23490888586247]",0.183306583,"[193.54109771448557, 194.48405839042752, 193.54471782161514]",0.210236917,"[154.25968570135495, 155.73538062148776, 154.84289056254386]",0.215948333,"[220.56137708838585, 220.83029528016777, 220.1509051051253]",0.2859415
E:/Organized Photos/2010/2010-02-13 00-31-08.JPG,"[161.61714285714285, 166.30693877551022, 167.71591836734694]",0.087167833,"[115.07291666666669, 119.47083333333336, 122.43784722222223]",0.202661333,"[27.30837138508372, 26.663318112633185, 25.958904109589042]",0.23254125,"[219.043093270366, 221.97520661157023, 223.11924439197168]",0.23866325,"[61.700393479482855, 62.4822934232715, 62.242270938729625]",0.238966333
E:/Organized Photos/2010/2010-02-13 00-31-16.JPG,"[156.1333771367686, 162.89811594798033, 167.35439284332577]",0.150475167,"[107.44363757899848, 114.64935788364923, 120.49189555987681]",0.159949167,"[63.47621263814378, 64.76274035277403, 65.77973643982544]",0.18013675,"[30.40008520449073, 30.450096407849433, 30.394937556016792]",0.220104,"[198.85773674735927, 201.68757037997648, 202.13230375356133]",0.289334917
E:/Organized Photos/2010/2010-02-13 00-32-23.JPG,"[229.08943089430898, 237.7601626016261, 241.42276422764232]",0.021034583,"[90.13338533541342, 95.15834633385334, 94.46567862714505]",0.10971225,"[137.6647591797806, 148.21793037672865, 154.4244158321411]",0.162703833,"[23.5018115942029, 25.221467391304344, 26.623641304347828]",0.184269333,"[169.17753679318358, 191.5708752904725, 210.46754453911691]",0.52228
