Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2016/2016-01-01 08-29-44.JPG,"[173.8318128270459, 116.9504945069998, 116.92759102490342]",0.114746094,"[84.01650226606236, 75.99029592108768, 96.43609704078911]",0.117594401,"[32.47065985860171, 32.78540848389629, 56.82207384131972]",0.157027995,"[228.3395114476823, 237.76443115184009, 243.4519256268968]",0.2121875,"[194.80794581751292, 182.96324684448572, 168.8732426608147]",0.39844401
E:/Organized Photos/2016/2016-01-01 08-30-12.JPG,"[87.78417266187053, 83.29038587311969, 105.1772400261609]",0.120602214,"[231.6509090909091, 242.57030303030302, 249.8254545454545]",0.134202474,"[33.72300469483567, 36.44014084507042, 66.25410798122066]",0.146223958,"[174.95360607338677, 143.99915647406158, 143.0231969633066]",0.197617188,"[201.32499006754068, 194.25188716726262, 187.29121970599917]",0.401354167
E:/Organized Photos/2016/2016-01-01 08-44-43.JPG,"[56.727027660571956, 32.173112986404135, 57.19409282700424]",0.15094401,"[193.7137316561845, 158.27274633123685, 174.9918238993711]",0.164677734,"[121.18425166080506, 74.41256350136777, 91.64615084017203]",0.181015625,"[234.36319756118223, 218.76069099839103, 219.93555762553984]",0.20296224,"[164.36175770592672, 111.94090671620134, 127.56190863179893]",0.300400391
E:/Organized Photos/2016/2016-01-01 08-44-47.JPG,"[213.25846818570898, 187.63082378836674, 193.44397342355197]",0.146575521,"[242.0819170358437, 229.09089810712848, 225.5699556987516]",0.15094401,"[68.79545773166979, 38.49039674751159, 60.841553343614194]",0.203300781,"[180.26043339740383, 131.37886726875377, 146.80088996550722]",0.23304362,"[145.1577367647996, 92.4295932051854, 104.6237946229005]",0.266136068
E:/Organized Photos/2016/2016-01-01 08-49-48.JPG,"[206.20993557039156, 162.4152065537448, 157.1047199790096]",0.148850911,"[74.56018058205464, 57.034638432805714, 43.58858463440194]",0.161207682,"[167.1057662658034, 146.1166773405443, 76.85151450461353]",0.177460938,"[243.87285068890347, 236.14679373356424, 234.8782450383224]",0.194091797,"[172.18889666684612, 23.00779441064024, 29.753540466318455]",0.318388672
E:/Organized Photos/2016/2016-01-02 17-48-24.JPG,"[254.38207043756668, 254.04909284951972, 253.0992529348986]",0.061262873,"[178.90087829360098, 161.14010874111247, 139.58385612714346]",0.162222475,"[134.10688758934373, 119.55912930474331, 102.73944119558153]",0.192711696,"[74.1275, 67.74666666666667, 58.8261111111111]",0.233790801,"[31.64942099364961, 28.4572282405678, 24.9719835636907]",0.350012155
E:/Organized Photos/2016/2016-01-02 22-00-23.JPG,"[243.58, 194.14000000000001, 162.82499999999996]",0.017375054,"[143.8076923076923, 132.8858764186633, 123.0296343001261]",0.125026573,"[132.58156028368793, 82.5695035460993, 73.97872340425532]",0.12624377,"[47.38816738816739, 36.18528138528139, 32.588744588744596]",0.303439629,"[67.72916296427938, 58.159765416740726, 54.841123156211125]",0.427914974
E:/Organized Photos/2016/2016-01-02 22-00-37.JPG,"[112.63413514058824, 104.72880035068906, 95.79989609208849]",0.082628653,"[170.62846297958927, 149.93084258530465, 129.8528610246449]",0.146612156,"[28.691674526678533, 28.314419075364935, 25.084594190846612]",0.210054518,"[52.041208669672834, 55.30724827246532, 53.19574007497055]",0.266134318,"[75.96607134395768, 74.98651738189642, 69.94934031452235]",0.294570355
E:/Organized Photos/2016/2016-01-04 09-45-48.JPG,"[174.6352313882063, 185.3316672434899, 197.45625162231278]",0.09106924,"[128.11433939317357, 132.0131748585361, 134.6372331558607]",0.116150489,"[82.62196237509107, 81.18259399824835, 81.73750864307569]",0.140514741,"[38.3940537319787, 38.857514596581346, 40.979229903734506]",0.191541915,"[213.3612450781227, 223.58019587189284, 235.08429983948923]",0.460723615
E:/Organized Photos/2016/2016-01-09 10-55-05.JPG,"[241.98742532808603, 235.14523327950195, 219.07275121905258]",0.115120221,"[46.4851356877325, 41.63799070631975, 41.447256505576135]",0.161821617,"[194.20164293148753, 168.16306381862688, 152.58409164792974]",0.21939539,"[136.10747377110388, 121.72332907423072, 112.06497355996457]",0.22035785,"[100.46638731775907, 72.51055250826393, 71.50070941232025]",0.283304922
