Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2005/2005-01-27 21-15-10.JPG,"[62.09775384531925, 42.64363996419177, 39.53815478935521]",0.122987079,"[208.20273019678703, 188.69645344567033, 165.75460309152135]",0.196408203,"[148.33105843990916, 138.74501257609128, 128.57220806672265]",0.200140101,"[89.72066515086709, 154.05844082753632, 196.49005350322295]",0.220886646,"[103.17924912197216, 78.15756293314463, 65.35986928186395]",0.259577971
E:/Organized Photos/2005/2005-01-27 21-15-33.JPG,"[195.03840823262183, 11.402668382931342, 16.63475572173358]",0.144548814,"[200.49238724504434, 162.9068121825762, 131.7824117988217]",0.181916617,"[70.97902822105391, 47.51309345658242, 37.24365191826352]",0.185766041,"[103.22663538178543, 131.32712116209962, 156.75708626137833]",0.207891126,"[181.87164428646213, 125.11896515993975, 62.070033122468786]",0.279877401
E:/Organized Photos/2005/2005-03-06 10-54-03.jpg,"[76.85828392558388, 56.42254226964679, 48.01782533942926]",0.087390688,"[160.6490615793664, 148.3892150164709, 130.91702821136556]",0.1530254,"[188.86223763067997, 178.23149545232903, 155.00367806559834]",0.177905756,"[18.721513597715326, 14.95385474135132, 17.923582787044857]",0.258413303,"[128.11329312005674, 116.90846173881772, 104.52142204508922]",0.323264853
E:/Organized Photos/2005/2005-03-06 10-54-47.jpg,"[225.02523836231072, 221.63320246775095, 218.2585530005608]",0.132509516,"[37.764879696074296, 25.966230476994518, 21.71886872097932]",0.184436578,"[147.3018798378179, 139.19166973829707, 124.30704017692591]",0.197124465,"[184.100453661698, 174.68114063512638, 156.8732987686325]",0.234065042,"[96.96489140136866, 80.44837845879202, 67.20202320737876]",0.251864399
E:/Organized Photos/2005/2005-03-06 10-56-02.jpg,"[170.3022774327122, 165.2784679089027, 170.6485507246377]",0.161813494,"[135.9826616682287, 121.39409559512656, 116.21462043111528]",0.1716898,"[45.74163130598773, 29.506836397925497, 28.400754361150394]",0.172091454,"[226.93796864349014, 221.51295160190867, 213.58793456032717]",0.242203515,"[117.85443637511842, 90.66845595200505, 71.59772655509946]",0.252201737
E:/Organized Photos/2005/2005-03-06 11-27-44.jpg,"[16.14242193450114, 12.323686214775323, 13.635567402894136]",0.095829046,"[106.59645408838315, 96.11669753903149, 102.74464143953425]",0.133970711,"[72.3153643546971, 63.6521510096576, 65.53011413520633]",0.19511671,"[153.4678739334843, 145.21835277729417, 145.2213129026642]",0.198750196,"[50.029457937020965, 38.06454889648167, 34.843937575030004]",0.376333337
E:/Organized Photos/2005/2005-03-06 11-38-39.jpg,"[186.20244484197949, 199.25014907573046, 233.9812164579606]",0.098713983,"[61.30015786944877, 63.63487542041315, 70.48325211064582]",0.123122944,"[126.0641772242162, 123.45480259561222, 128.08079199448562]",0.180349003,"[16.90722498901419, 15.582832869488797, 19.624029588399]",0.230809446,"[148.3427402253528, 150.7005192512695, 160.12147957955565]",0.367004625
E:/Organized Photos/2005/2005-03-06 13-29-18.jpg,"[197.7954796030871, 187.32965821389195, 181.18798235942668]",0.064898561,"[66.7145618556701, 58.73743556701031, 38.73518041237112]",0.119087803,"[128.25111412516952, 110.16837822127493, 78.76070528967254]",0.208796204,"[152.42294991744637, 133.9219867914144, 102.5284810126582]",0.257223321,"[18.619165678559874, 17.23779238978118, 12.355071682656028]",0.349994111
E:/Organized Photos/2005/2005-03-06 13-36-36.jpg,"[164.7878955532064, 164.24834270245702, 149.21583892352226]",0.107130643,"[118.76888910914391, 114.59033383097211, 94.07761306828367]",0.170541921,"[222.93811136078696, 220.56355123771226, 215.8889117702281]",0.174840268,"[74.98773008788322, 66.71630855996135, 47.91097934399004]",0.244363924,"[29.118690844821, 25.58452242768124, 17.039307619204607]",0.303123244
E:/Organized Photos/2005/2005-03-06 20-09-16.jpg,"[238.34188986064203, 240.38308566353945, 238.88313843667757]",0.081467126,"[165.83541384751487, 167.8634984478083, 155.30881588620048]",0.127612432,"[71.77253595958524, 66.55997815414415, 46.20978255062245]",0.196989633,"[136.56501230564334, 125.77186310464037, 103.43325492979663]",0.248330874,"[23.687534507421564, 19.687195649810093, 12.478465261615739]",0.345599935
E:/Organized Photos/2005/2005-03-06 21-42-52.jpg,"[169.0649350649351, 188.79220779220782, 161.13636363636368]",0.024103523,"[90.91442953020135, 103.35570469798658, 82.84395973154362]",0.045858124,"[126.76747720364742, 145.7066869300912, 116.9224924012158]",0.053100011,"[57.69575471698114, 70.19811320754717, 60.16509433962264]",0.069994532,"[254.11409192144163, 254.2045960720794, 254.08665721806034]",0.80694381
E:/Organized Photos/2005/2005-04-04 12-43-47.JPG,"[194.64439703570633, 91.78542555580503, 36.71884123063102]",0.064221302,"[229.19673302705453, 225.9759060745278, 215.7261868300153]",0.07109127,"[56.20692151752101, 73.10262814943533, 106.21539241239499]",0.201646757,"[112.8901720790972, 129.69960188201227, 158.26466620603426]",0.214110957,"[20.424644842495365, 18.97535840837424, 32.17900913494362]",0.448929714
E:/Organized Photos/2005/2005-04-04 12-43-56.JPG,"[204.0992610010078, 98.18966241182402, 40.697556264695976]",0.06595836,"[230.4044762818757, 229.6755895256377, 226.06700712914693]",0.078988492,"[122.01088114442237, 141.6570283569218, 170.05886978136272]",0.21454619,"[62.08768523505913, 86.76164647818516, 120.37357668073817]",0.222509278,"[22.732595739076036, 23.874977773387357, 40.500576245513514]",0.417997679
E:/Organized Photos/2005/2005-04-04 12-44-25.JPG,"[95.40400401143985, 113.04285767347068, 138.0167408641573]",0.078918235,"[69.25988964197819, 75.28707473470116, 85.80536080229254]",0.107770191,"[15.691469410415735, 17.703082520428325, 31.91832093545926]",0.21863764,"[27.927306932421768, 33.40981865926514, 62.426739518883295]",0.234310167,"[142.77336769199965, 176.1147662416794, 223.87599250187188]",0.360363767
E:/Organized Photos/2005/2005-04-04 12-44-36.JPG,"[100.43274700107013, 100.104094313766, 97.78935215603826]",0.076529231,"[123.1705328558251, 138.5226273807588, 165.92684084866215]",0.105295173,"[36.87188646398678, 45.50789415031711, 83.36589582492527]",0.236426408,"[166.28470908199662, 203.41152814306875, 244.36340636809746]",0.270282899,"[20.663504313754203, 24.443162230990417, 44.89795582459686]",0.311466289
