Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2007/2007-01-07 01-05-56.JPG,"[187.08888090676894, 188.40341634738184, 190.2966155810982]",0.110358073,"[129.28460975532144, 126.21928791880111, 102.0917623850584]",0.137890625,"[55.30399343642425, 53.46856439616883, 51.097704532077664]",0.242666016,"[252.46035924434813, 252.48276040053673, 252.66372457933326]",0.254518229,"[89.73111648666142, 86.29148921672171, 75.24956560253474]",0.254567057
E:/Organized Photos/2007/2007-02-07 21-59-00.jpg,"[153.64852076724227, 114.53798577542842, 111.50815208806017]",0.132693822,"[120.92941083225874, 72.82850382337371, 68.97413216603888]",0.150365719,"[40.04843400517515, 22.340997800903466, 18.404807939302447]",0.195602646,"[192.45742512081728, 165.33631128443648, 159.19970967536509]",0.217050604,"[78.93492593445734, 34.42337407054332, 29.28388280339995]",0.30428721
E:/Organized Photos/2007/2007-02-07 21-59-27.jpg,"[149.39352670801222, 108.17342980754844, 102.35366893288686]",0.123567331,"[130.81918063005483, 69.91386485543944, 63.49947024926525]",0.133732948,"[79.56209435313043, 45.39875437133758, 41.756952157606776]",0.164681292,"[183.84888653130918, 154.47963890031858, 144.69022577505942]",0.225708733,"[49.05326629334892, 22.044157289049718, 18.160332531664682]",0.352309695
E:/Organized Photos/2007/2007-02-07 21-59-57.jpg,"[117.60727550797465, 65.16604762945158, 68.42839195979897]",0.128105075,"[77.07714635584378, 29.630096603020554, 31.594856909610396]",0.151774771,"[134.59279229274875, 118.88930737818666, 120.23676802917984]",0.174767526,"[159.50827454872183, 154.20183461631285, 154.50867687686065]",0.258985586,"[187.18009166764605, 185.22188271242229, 184.45779762604312]",0.286367043
E:/Organized Photos/2007/2007-02-07 22-04-32.jpg,"[191.35670148990266, 177.21806228267496, 177.23949354068617]",0.097611795,"[236.4067919424174, 233.68791707784925, 233.01872925393477]",0.108898105,"[139.35363741893386, 134.55875609194482, 131.8847854867799]",0.155885433,"[85.33993260679843, 83.73671563177271, 85.29786053057202]",0.220104079,"[42.662224808194544, 38.181759874430014, 32.87714616907748]",0.417500587
E:/Organized Photos/2007/2007-02-07 22-05-44.jpg,"[124.55696202531647, 129.1713729308666, 131.53554040895807]",0.041252882,"[73.68842921784099, 75.03167420814478, 74.16095669036844]",0.067229057,"[39.52055765595463, 38.865548204158806, 36.2984404536862]",0.190637225,"[20.412002697235337, 19.00382108338953, 16.869858395144977]",0.203084911,"[3.902244300541116, 3.591856648629468, 3.27721103521689]",0.497795925
E:/Organized Photos/2007/2007-02-07 22-06-15.jpg,"[22.979607443283204, 19.331124139689017, 16.28626051491206]",0.092675548,"[206.03548966756517, 184.08557951482481, 170.56424079065587]",0.099347113,"[81.41486473836933, 58.36965271927359, 43.08536927829261]",0.255006898,"[137.1909294049491, 104.32276752462134, 76.77108334023009]",0.27131519,"[114.37987696974801, 82.48377854554644, 58.47771130024439]",0.281655251
E:/Organized Photos/2007/2007-02-07 22-07-26.jpg,"[208.32140545425634, 188.88515040119188, 178.8966182630888]",0.081384078,"[160.35076177945592, 128.52835459451234, 101.07656884617575]",0.108526989,"[28.875392623914543, 23.808625857700413, 20.221127996776197]",0.179430298,"[96.8464258788599, 69.49376656484856, 48.53108167976295]",0.253560536,"[135.9981009012936, 100.350567913534, 68.00712421454642]",0.377098099
E:/Organized Photos/2007/2007-02-13 14-35-35.jpg,"[79.84911678115796, 77.78508341511285, 75.28581943081451]",0.105587229,"[188.58099320130063, 190.18326928761454, 192.06384865503986]",0.180539282,"[156.60983278547945, 157.68429326854366, 157.67743318565095]",0.184591796,"[20.91853142168028, 18.914377596140955, 17.038456384831836]",0.193888167,"[120.81431749563001, 119.74209439059271, 117.32917527411409]",0.335393526
E:/Organized Photos/2007/2007-02-13 15-19-55.jpg,"[162.09144792548648, 119.5423690760272, 86.72629769327503]",0.087776214,"[190.92079752280566, 175.97334993006518, 171.2822998495741]",0.127421982,"[18.408383633397225, 15.932981134220029, 15.182266593101073]",0.236327033,"[121.12536150814465, 71.36579749973313, 37.85557778633999]",0.241519093,"[87.4619174295699, 48.44826812871848, 26.79972212751131]",0.306955677
