Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2004/2004-01-01 00-56-15.jpg,"[234.10340058574687, 79.9571265863977, 6.048765747756953]",0.028546647,"[142.1537395903144, 95.99508141610072, 70.31300243447349]",0.142691647,"[99.34125741289856, 50.17874583024465, 22.49111147146039]",0.146768116,"[40.2373833418369, 24.066783518090315, 24.968371997646656]",0.275207879,"[181.99100699884784, 148.42616846647383, 134.16026614454998]",0.406785711
E:/Organized Photos/2004/2004-01-01 00-57-17.jpg,"[244.31815135987395, 174.41271186440693, 96.73411509657092]",0.019326936,"[111.18879029670539, 54.80384071196743, 40.28526043940437]",0.071699822,"[143.06081375413163, 90.6826470788055, 75.6001286852129]",0.09434202,"[101.45511427394472, 11.763565148222357, 3.2673506058152584]",0.101677443,"[16.907174540333003, 7.267690522401517, 5.966833021306557]",0.712953779
E:/Organized Photos/2004/2004-01-01 00-57-48.jpg,"[254.66216050220714, 198.92099665755077, 7.529050860826071]",0.033307865,"[227.30126583661556, 185.65147152823698, 168.59118448872096]",0.075276999,"[170.5569478225724, 112.08913248698153, 99.48007289461378]",0.149161253,"[138.59557414281542, 58.748199147528574, 20.173108874257704]",0.270919605,"[36.76784802290123, 16.55544394246499, 15.153377113911038]",0.471334278
E:/Organized Photos/2004/2004-01-01 00-59-01.jpg,"[99.34557806174149, 27.769807413940267, 9.753475783748945]",0.129383844,"[65.37105768650541, 60.785795100267315, 83.16181839209887]",0.164417144,"[26.95803370607055, 9.758679717168159, 7.498533415760182]",0.21926169,"[161.6635485951019, 100.0104265486568, 74.83521212603041]",0.23439618,"[107.70576591050576, 73.65160423371178, 55.660498116579944]",0.252541142
E:/Organized Photos/2004/2004-01-01 00-59-15.jpg,"[159.702746365105, 91.26817447495961, 75.64135702746364]",0.044558061,"[174.69811320754715, 124.86927223719675, 112.96495956873316]",0.048037344,"[126.18695791840669, 68.29328621908128, 44.94539029874719]",0.222649018,"[24.23733583489681, 17.754221388367732, 30.04737335834897]",0.289244859,"[88.36334405144692, 39.29296177206145, 23.918720971775624]",0.395510718
E:/Organized Photos/2004/2004-01-01 00-59-23.jpg,"[141.3888275143305, 7.114121938509655, 2.31887441375717]",0.046325599,"[62.82372191000315, 18.571081003350187, 10.338914410527861]",0.12424551,"[99.27365497305182, 58.57341378679843, 42.64014053235125]",0.219398071,"[120.12973482110023, 87.92666785093135, 76.37745132465514]",0.23485931,"[15.27314865599147, 11.718690608904634, 8.136872798144886]",0.37517151
E:/Organized Photos/2004/2004-01-01 00-59-46.jpg,"[230.38344386527302, 69.43335046374465, 2.7137997699630536]",0.079869291,"[213.6948134051954, 179.8390124907402, 169.0525875501284]",0.10173246,"[94.87008181101018, 70.0944859556288, 43.011066202214124]",0.147619727,"[35.81435434467183, 25.582436455478522, 26.19379010156379]",0.303822458,"[157.14371726632498, 127.48014838081593, 115.62102843254998]",0.366956064
E:/Organized Photos/2004/2004-01-01 01-00-30.jpg,"[86.1340361445783, 45.170180722891565, 30.543674698795183]",0.057167425,"[195.98648648648648, 189.32432432432432, 189.2108108108108]",0.057460336,"[148.34946619217084, 85.11672597864768, 73.10818505338078]",0.114554662,"[142.42812823164428, 119.87693898655637, 111.00620475698035]",0.23902205,"[23.069017938583155, 20.94299179081788, 29.961234417756163]",0.531795527
E:/Organized Photos/2004/2004-01-01 01-03-00.jpg,"[215.21101521728121, 163.36093611894572, 141.47127407432407]",0.104202312,"[86.61097705536869, 111.65664765163716, 130.97019231138083]",0.149965078,"[153.7667688330758, 100.27918095375531, 90.23386487054542]",0.187391515,"[55.29668188414123, 25.922917752052253, 21.969553277349483]",0.196037544,"[119.21662261886499, 61.839541519840516, 45.87175227261118]",0.362403551
E:/Organized Photos/2004/2004-01-01 01-03-13.jpg,"[157.91863534112474, 45.85296864468041, 11.58041043715539]",0.084597188,"[225.61105865624424, 177.99028728130475, 135.08859188149128]",0.18261764,"[44.10389167296462, 29.595446507839807, 38.13983681974592]",0.18592877,"[109.3157135491934, 92.88593574996915, 82.42632884902099]",0.269180739,"[174.4508349571003, 131.53259892252447, 108.53321722679453]",0.277675664
