Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2015/2015-08-27 12-57-40.JPG,"[165.24971742501896, 166.72281365822838, 168.36219541045645]",0.086010398,"[139.18315803690518, 19.88800162071818, 53.23875204700077]",0.13739134,"[86.24739842294716, 115.46559475622907, 80.67493942492207]",0.16142303,"[243.97488784923078, 51.73873982224244, 131.34087820366338]",0.182826254,"[234.03512602624335, 8.36827611717923, 74.77618910615392]",0.432348977
E:/Organized Photos/2015/2015-08-27 13-21-08.JPG,"[147.53089461713418, 144.75966641394993, 134.11391205458673]",0.021034606,"[46.53243872084842, 41.5814079324712, 34.338347492018826]",0.080593915,"[65.44913910100237, 67.51644129044927, 66.27033700148806]",0.260018706,"[234.85666857815477, 239.39477258322538, 233.40936528536517]",0.270536697,"[82.57991118629734, 85.31327976316345, 84.65321421019237]",0.367816076
E:/Organized Photos/2015/2015-08-27 13-46-27.JPG,"[208.9012449528936, 198.76076716016144, 179.64098250336474]",0.047650748,"[147.72522890778296, 165.63996075866595, 179.76381621975148]",0.104384903,"[41.4825334974023, 44.98270440251574, 56.20549630844956]",0.250925671,"[226.4907655880031, 218.5027940015786, 198.97259668508306]",0.271484375,"[235.93877062903607, 228.0164766536448, 210.0571367828004]",0.325554302
E:/Organized Photos/2015/2015-08-27 17-26-03.JPG,"[242.16426193118753, 217.8712541620422, 91.9356270810211]",0.06020439,"[213.27982300884955, 110.88442477876102, 36.19946902654869]",0.121930018,"[160.8554285067362, 145.55485112645763, 133.89709045624366]",0.184586818,"[90.08658743633275, 88.53982096002468, 67.5047846889952]",0.267153114,"[40.214327830188665, 40.45153301886791, 26.199410377358486]",0.36612566
E:/Organized Photos/2015/2015-08-27 17-30-34.JPG,"[114.78431096130927, 112.95264581117281, 110.22316061976971]",0.103189646,"[167.84325897603867, 167.1815399155831, 163.8231964686554]",0.117474967,"[231.10124017616266, 231.11791803960458, 222.61371125115946]",0.128306558,"[198.72816907990034, 196.50135181142724, 188.90955213319174]",0.211260728,"[47.84984173243294, 45.01158690022107, 40.532645364321645]",0.439768101
E:/Organized Photos/2015/2015-08-27 17-53-53.JPG,"[161.46073298429317, 116.1692844677138, 94.78359511343804]",0.135715159,"[95.03229061553985, 92.06458123107971, 98.83602421796165]",0.156526617,"[44.57907542579076, 51.13917274939173, 61.09245742092458]",0.170184147,"[197.63611980330802, 179.09521680822527, 161.23156012516768]",0.176445284,"[170.70058207217699, 155.7646100116415, 134.35366705471478]",0.361128793
E:/Organized Photos/2015/2015-08-27 17-54-04.JPG,"[177.36328490101104, 125.06096524768459, 99.98283626476324]",0.12007492,"[107.47424104479953, 103.43054029447781, 107.35271403007563]",0.154810131,"[51.00165007112375, 59.91687055476527, 68.3029587482219]",0.172919462,"[203.30618449993514, 184.64395997757347, 164.13602449648513]",0.21832862,"[175.64346658849317, 163.02031999753135, 140.44495703022523]",0.333866867
E:/Organized Photos/2015/2015-08-27 17-56-24.JPG,"[150.02993006349516, 139.30040489555506, 129.46733229042036]",0.062498625,"[81.82072531582227, 80.45828687812202, 80.6745472262947]",0.160912742,"[212.83178859935697, 200.89937704170805, 184.28081870900738]",0.22878246,"[57.55170186695312, 56.78284069028379, 57.45926565301102]",0.245903939,"[242.43814977804215, 236.54324807348564, 228.2155821819086]",0.301902234
E:/Organized Photos/2015/2015-08-28 17-48-37.JPG,"[84.49736070381232, 71.25689149560115, 63.65395894428153]",0.140216503,"[220.72641509433961, 209.24028856825748, 198.1170921198668]",0.148938234,"[179.34556271690627, 161.4328210213188, 148.184928111056]",0.166666667,"[148.35135135135133, 118.33355306526038, 96.2201713909031]",0.234569737,"[28.970509383378015, 26.106166219839146, 27.80455764075067]",0.309608859
E:/Organized Photos/2015/2015-08-28 20-04-57.JPG,"[210.7599313712549, 182.1679704802379, 165.00628253130893]",0.108209833,"[206.91487122891357, 149.37497803549513, 92.22953139305838]",0.190116932,"[73.51879292240253, 45.424212258944785, 30.890966558849765]",0.202308632,"[156.56200402354196, 86.05692708837721, 59.517256280617495]",0.212493392,"[235.97656953609746, 103.8056092289051, 104.80774001539261]",0.28687121
