Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2009/2009-01-07 11-26-50.jpg,"[178.3620352250489, 200.04500978473584, 212.66731898238746]",0.045411738,"[183.41706443914083, 182.7923627684964, 165.39379474940336]",0.142475968,"[224.5570241691843, 210.20996978851963, 214.69070996978851]",0.175872946,"[234.3183887915937, 228.12539404553416, 234.16777583187388]",0.219075456,"[209.41822531535448, 216.27337973031752, 210.05241409308397]",0.417163892
E:/Organized Photos/2009/2009-01-07 11-27-14.jpg,"[83.7408883764345, 70.75479877010918, 63.135573491462125]",0.067609405,"[124.7513099027355, 120.18738868369775, 113.1990904198169]",0.0995798,"[208.8392480750816, 207.67902904337987, 204.7712461449172]",0.133124525,"[177.16993676464395, 181.35198890208756, 179.0158734351211]",0.321754581,"[159.22706036822527, 165.53819080963288, 148.30740603764127]",0.377931689
E:/Organized Photos/2009/2009-01-07 11-27-27.jpg,"[85.4209999852899, 72.25223224136155, 60.87559759344518]",0.092444042,"[162.18380092705547, 116.35581849231522, 114.3078067821421]",0.11406622,"[134.4009128424792, 140.909329537441, 124.874030349727]",0.207478365,"[182.00099554170438, 171.28820623172012, 164.8711608263611]",0.223370704,"[163.7557244930045, 155.19380635819115, 142.25376086940625]",0.362640669
E:/Organized Photos/2009/2009-01-07 12-04-29.jpg,"[51.47241386839003, 73.57089210078155, 87.92708833675394]",0.051352607,"[139.8659382808124, 120.19701817756915, 93.20029694497275]",0.163580773,"[205.47067037349208, 224.81105254550698, 201.62753449989285]",0.224562494,"[167.80155877406622, 173.17993172519397, 168.81156404528244]",0.22564244,"[249.2574235594713, 250.83426636280112, 249.8407111670665]",0.334861686
E:/Organized Photos/2009/2009-01-07 12-04-42.jpg,"[191.94205052005938, 215.63132243684998, 202.74603268945017]",0.137862496,"[43.76061353053958, 36.90148817675522, 46.641239842965405]",0.181727542,"[163.74692874692886, 190.62023460410558, 151.1157168899106]",0.210710456,"[135.02552349203026, 144.53904920651462, 117.40038892940238]",0.231193794,"[98.00931463532002, 90.26307829793086, 87.23891524025579]",0.238505711
E:/Organized Photos/2009/2009-01-16 13-22-26.jpg,"[139.87667592871992, 100.47035622482869, 75.1178431556199]",0.107767866,"[78.43877254720316, 82.93919428101287, 80.0800188051796]",0.112522627,"[41.77016633499451, 32.06258433088346, 34.28721257345712]",0.168867371,"[152.19158334091549, 139.32089426443358, 132.34470680722777]",0.259887929,"[183.3852825377405, 181.2780230333681, 180.52721970366107]",0.350954207
E:/Organized Photos/2009/2009-01-16 13-22-45.jpg,"[67.64337498892121, 68.83924931312588, 69.72370380218047]",0.13103024,"[119.10873709376739, 97.96561263573273, 85.22517316556859]",0.164323123,"[143.95912654501896, 136.09507255281142, 131.51375353046427]",0.18729801,"[34.88863405473636, 29.45778099313489, 31.94034725856602]",0.191256179,"[176.3126201141597, 178.15338690499667, 179.24008822441158]",0.326092448
E:/Organized Photos/2009/2009-01-18 12-17-15.jpg,"[115.7027143472641, 114.86471348556657, 109.89831968978886]",0.142114626,"[168.74083684722672, 169.77067791112555, 167.57963023029515]",0.179509285,"[74.60772946859905, 69.1632850241546, 63.45571658615139]",0.19612975,"[44.87955672207641, 41.50889472149315, 36.26159230096239]",0.207747684,"[212.74516419253266, 213.6392262708052, 214.56792622582097]",0.274498655
E:/Organized Photos/2009/2009-01-18 12-17-40.jpg,"[214.24629168632757, 217.4627541584641, 222.29514109218331]",0.141846509,"[170.70434107123282, 171.5151525260559, 171.5440850581177]",0.159942511,"[56.276326561582756, 52.94614681134016, 48.8480010223519]",0.190592175,"[129.3118990664799, 128.01995431022436, 126.22872143940737]",0.211979405,"[92.72304117478268, 89.42892789801598, 86.4242088867029]",0.2956394
E:/Organized Photos/2009/2009-01-18 12-19-05.jpg,"[32.801711744843075, 35.988549363110536, 34.4127411320251]",0.023803718,"[94.42716903722557, 95.29393869365518, 88.6241717818602]",0.125998071,"[165.4044126193346, 166.06945739048788, 160.60383739718796]",0.162759537,"[131.08663439882395, 130.09953167466497, 121.87915379876006]",0.301368608,"[213.84566680795908, 214.6728944167616, 213.34288986179925]",0.386070066
