"YEAR","4 Juniors","Action Wheelers","Adventurers","Agents","Alpha Team","Aqua Raiders","Aquazone","Architecture","Art","Assorted","Atlantis","Avatar The Last Airbender","Baby","Basic","Batman","Belville","Ben 10: Alien Force","Bionicle","Boats","Boost","Brick Sketches","BrickHeadz","Bricklink","Bricks and More","Building Set with People","Bulk Bricks","Cars","Castle","City","Classic","Clikits","Collectable Minifigures","Creator","Creator Expert","Dacta","DC Comics Super Heroes","DC Super Hero Girls","Dimensions","Dino","Dino 2010","Dino Attack","Dinosaurs","Discovery","Disney","Dots","Duplo","Education","Elves","Exo-Force","Explore","Fabuland","Factory","FORMA","Freestyle","Friends","Fusion","Galidor","Games","Ghostbusters","Harry Potter","HERO Factory","Hidden Side","Hobby Set","Homemaker","Horizon","Ideas","Indiana Jones","Island Xtreme Stunts","Jack Stone","Juniors","Jurassic World","Legends of Chima","Legoland","LEGOLAND","Life of George","Make and Create","Marvel Super Heroes","Master Builder Academy","Mickey Mouse","Mindstorms","Minecraft","Minions: The Rise of Gru","Minitalia","Miscellaneous","Mixels","Model Team","Monkie Kid","Monster Fighters","Nexo Knights","Ninjago","Originals","Overwatch","Pharaoh's Quest","Pirates","Pirates of the Caribbean","Power Functions","Power Miners","Powered Up","PreSchool","Primo","Prince of Persia","Quatro","Racers","Rock Raiders","Samsonite","Scala","Scooby-Doo","Seasonal","Serious Play","Service Packs","Space","Speed Champions","Spider-Man","SpongeBob SquarePants","Sports","Spybotics","Star Wars","Stranger Things","Studios","Super Mario","System","Technic","Teenage Mutant Ninja Turtles","The Angry Birds Movie","The Hobbit","The LEGO Batman Movie","The LEGO Movie","The LEGO Movie 2","The LEGO Ninjago Movie","The Lone Ranger","The Lord of the Rings","The Powerpuff Girls","The Simpsons","Time Cruisers","Town","Toy Story","Trains","Trolls World Tour","Ultra Agents","Unikitty","Universal Building Set","Universe","Vidiyo","Vikings","Western","World City","World Racers","Xtra","Znap"
1992,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,6,0,0,1,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,6,0,0,1,0,0,0,19,0,4,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,23,0,4,0,0,0,0,0,0,0,6,0,0,0,0
1997,0,0,0,0,0,0,3,0,0,0,0,0,0,27,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,16,0,0,0,0,0,10,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,46,0,1,0,0,0,0,0,0,0,11,0,0,0,0
1998,0,0,18,0,0,0,10,0,0,0,0,0,0,27,0,7,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,23,0,0,0,17,20,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,61,0,2,0,0,0,0,0,0,0,0,0,0,0,12
1999,0,0,13,0,0,0,1,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,8,0,15,0,3,0,21,6,0,0,0,0,0,13,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,62,0,6,0,0,0,0,0,0,0,0,0,0,0,7
2000,0,6,17,0,0,0,0,0,0,0,0,0,13,13,0,5,0,0,0,0,0,0,0,0,0,71,0,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,2,0,0,0,0,0,0,15,0,19,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,3,0,0,6,0,0,0,0,0,0,0,8,2,0,5,0,25,0,0,0,0,0,0,0,24,0,1,0,0,0,0,18,2,0,0,0,0,0,0,0,8,0,0,0,48,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,18,0,0,0,5,0,10,0,42,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,7,0,26,0,0,0,0,0,0,0,17,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,54,0,0,0,0,0,0,16,0,0,17,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,4,0,0,0,0,0,0,43,4,25,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,3,0,0,0,0
2003,6,0,20,0,1,0,0,0,0,0,0,0,0,5,0,8,0,35,0,0,0,0,0,0,0,5,0,0,0,0,17,0,35,1,1,0,0,0,0,0,0,0,6,0,0,1,11,0,0,43,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,4,0,0,0,0,3,0,51,0,19,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0
2004,17,0,0,0,6,0,0,0,0,0,0,0,5,0,0,6,0,30,0,0,0,0,0,0,0,10,0,14,0,0,30,0,35,1,0,0,0,0,0,0,0,0,0,0,0,26,9,0,0,13,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,3,0,0,0,0,7,0,10,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,10,0,0,0
2005,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,5,0,37,0,0,0,0,0,0,0,0,0,28,26,0,20,0,33,0,0,0,0,0,0,5,5,0,0,0,0,45,16,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,24,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,3,0,42,0,0,0,0,0,1,0,6,0,11,23,0,7,0,18,2,0,0,0,0,0,0,0,0,0,0,0,34,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,1,0,0,0,0,0,3,3,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
2007,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,4,0,30,0,0,0,0,0,0,0,0,0,8,28,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,31,17,0,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,8,0,0,2,1,0,15,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,8,0,0,0,2,0,0,0,0,0,0,4,4,0,32,0,0,0,0,0,16,0,0,0,14,40,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,27,10,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,1,0,9,0,0,3,0,0,19,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,16,0,0,0,6,30,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,29,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,11,0,1,13,0,0,0,0,0,24,0,0,0,0,5,0,0,10,0,0,2,0,0,29,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,6,6,0,0,0,0,0,8,0,0,0,11,31,0,0,34,8,6,0,0,0,0,0,0,0,0,0,0,0,32,14,0,0,0,0,0,0,0,0,0,0,9,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,18,0,0,0,0,9,9,0,5,0,0,0,0,0,24,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,9,0,0
2011,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,18,4,27,0,0,51,11,5,0,1,0,0,0,0,0,0,0,0,0,32,8,0,0,0,0,0,0,0,0,0,0,13,0,10,24,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,16,0,0,0,0,0,39,0,0,9,0,10,1,0,0,0,0,0,0,9,0,0,0,0,14,0,0,10,0,0,2,0,0,27,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,1,39,0,0,66,13,3,0,12,0,0,7,0,0,0,0,0,0,35,7,0,0,0,0,0,0,0,25,0,0,7,0,0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,12,5,0,0,0,0,0,10,0,0,0,9,0,42,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,2,0,0,33,0,0,0,0,10,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,39,0,0,54,18,4,0,8,0,0,0,0,0,0,0,0,0,34,10,0,0,0,0,0,0,0,33,0,0,4,0,0,20,0,0,0,0,1,0,0,0,0,0,53,0,0,0,0,7,5,0,1,3,0,0,10,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17,3,0,12,0,0,0,0,0,40,0,0,0,0,12,7,0,8,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,40,0,0,51,18,5,0,11,0,0,0,0,0,0,0,7,0,39,9,0,0,0,0,0,0,0,43,4,0,0,0,0,17,0,0,0,0,4,0,0,0,11,0,50,0,0,0,0,12,0,0,0,7,0,0,9,30,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,40,0,0,0,0,11,9,0,5,0,17,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,41,7,0,52,14,4,0,9,0,31,0,0,0,0,0,4,0,42,24,10,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,9,14,0,0,0,0,15,0,0,0,4,0,0,12,30,0,0,0,0,42,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,12,1,0,1,7,0,0,0,0,53,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,0,0,0,0,1,44,3,0,74,16,4,0,15,0,24,0,0,0,0,0,12,0,38,18,12,0,0,0,0,0,0,47,0,0,0,2,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,16,0,0,0,7,0,0,12,30,0,0,0,50,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,7,0,0,0,0,62,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,51,7,0,60,20,5,0,8,10,11,0,0,0,0,0,9,0,35,8,10,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,14,0,0,0,9,0,0,10,0,0,0,0,41,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,58,0,0,0,0,13,0,0,0,27,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,47,12,0,62,17,5,0,13,0,0,0,0,0,0,0,11,0,31,3,7,0,0,0,0,0,0,46,0,0,0,0,9,0,0,0,0,0,4,0,0,0,19,13,0,0,0,0,0,16,0,0,0,10,0,0,12,0,0,0,0,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,56,0,0,0,0,14,0,0,0,9,0,0,1,0,0,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,8,0
2019,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,53,5,0,58,17,6,0,17,0,0,0,0,0,0,0,16,0,22,4,0,0,0,0,0,4,0,51,0,0,0,0,9,0,11,0,0,0,5,0,0,0,0,7,0,0,0,0,0,21,0,0,0,9,0,0,8,0,0,0,0,0,48,3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,51,1,0,0,0,14,0,0,0,0,0,36,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0
2020,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,55,6,0,52,20,8,0,10,0,0,0,0,0,0,0,21,20,23,12,0,0,0,0,0,0,0,58,0,0,0,0,10,0,17,0,0,0,6,0,0,0,0,12,0,0,0,0,0,25,0,0,2,13,2,0,8,0,0,13,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,7,0,0,0,0,39,0,0,19,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0
2021,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,17,5,0,0,0,0,0,58,6,0,39,35,18,0,12,0,0,0,0,0,0,0,25,26,22,9,0,0,0,0,0,0,0,46,0,0,0,0,16,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,40,0,0,0,11,5,0,10,0,0,12,0,0,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,34,0,0,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,2,0
2022,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,10,5,0,0,0,0,0,30,4,0,13,19,7,0,4,0,0,0,0,0,0,0,10,11,13,0,0,0,0,0,0,0,0,18,0,0,0,0,11,0,0,0,0,1,2,0,0,0,0,13,0,0,0,0,0,16,0,0,0,8,0,0,2,0,0,8,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,19,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
