"YEAR","THEME","TOTAL_SETS","TOTAL_PIECES","MEAN_PIECES","TOTAL_PRICE","MEAN_PRICE","MEAN_VALNEW","MEAN_VALUSED","PPP"
1976,"Building Set with People",7,438,62.5714285714286,0,NA,73.126,19.4328571428571,0
1976,"Dacta",5,1335,267,118.5,39.5,95.41,NA,0.0887640449438202
1976,"Duplo",3,48,16,0,NA,NA,23.16,0
1976,"Hobby Set",4,995,248.75,0,NA,127.893333333333,98.2475,0
1976,"LEGOLAND",27,3419,122.107142857143,20,10,147.872857142857,38.6025925925926,0.00584966364434045
1976,"PreSchool",4,167,41.75,0,NA,NA,75,0
1976,"Samsonite",1,291,291,0,NA,NA,NA,0
1976,"Trains",8,1071,133.875,0,NA,235.672857142857,75.35125,0
1976,"Universal Building Set",1,31,31,0,NA,NA,11.99,0
1977,"Basic",1,37,37,0,NA,113.46,3.37,0
1977,"Building Set with People",8,883,110.375,0,NA,114.43,35.20625,0
1977,"Duplo",7,157,22.4285714285714,1.1,1.1,225.99,32.4025,0.00700636942675159
1977,"Homemaker",3,332,110.666666666667,0,NA,53.5233333333333,13.07,0
1977,"LEGOLAND",12,1185,91.1538461538462,0,NA,109.644285714286,37.5653846153846,0
1977,"Minitalia",2,219,109.5,0,NA,174.23,NA,0
1977,"PreSchool",4,35,8.75,0,NA,NA,4.6,0
1977,"Service Packs",10,48,4.8,13,13,8.817,5.68285714285714,0.270833333333333
1977,"Technic",6,1593,265.5,0,NA,232.27,67.39,0
1977,"Trains",2,472,157.333333333333,0,NA,404.025,91.4033333333333,0
1977,"Universal Building Set",3,2598,288.666666666667,40,40,135.95,77.6871428571429,0.0153964588144727
1978,"Basic",5,259,43.1666666666667,41.25,13.75,52.7333333333333,27.5733333333333,0.159266409266409
1978,"Building Set with People",3,531,177,0,NA,135.823333333333,29.1533333333333,0
1978,"Castle",1,767,767,0,NA,3333.33,323.51,0
1978,"Duplo",3,61,20.3333333333333,0,NA,49.535,6.815,0
1978,"Hobby Set",1,973,973,0,NA,NA,297.9,0
1978,"Homemaker",5,1310,262,0,NA,244.39,65.46,0
1978,"LEGOLAND",6,436,72.6666666666667,2,2,79,35.254,0.00458715596330275
1978,"PreSchool",3,16,5.33333333333333,0,NA,NA,NA,0
1978,"Service Packs",2,28,14,0,NA,6.835,NA,0
1978,"Space",4,622,155.5,10,10,659.89,147.5375,0.0160771704180064
1978,"Technic",8,2381,264.555555555556,22,22,203.17,70.3377777777778,0.00923981520369593
1978,"Town",35,3486,96.8333333333333,5.5,5.5,235.723181818182,44.3216666666667,0.00157773952954676
1978,"Trains",4,571,142.75,0,NA,NA,91.7625,0
1979,"Castle",3,264,88,0,NA,806.83,67.1366666666667,0
1979,"Dacta",1,304,304,16.3,16.3,NA,NA,0.0536184210526316
1979,"Duplo",6,130,21.6666666666667,0,NA,58.44,13.685,0
1979,"Fabuland",14,1170,78,3,3,298.23125,48.06,0.00256410256410256
1979,"Homemaker",3,620,206.666666666667,0,NA,79,55.5,0
1979,"Samsonite",1,1112,1112,0,NA,99.98,NA,0
1979,"Scala",3,271,54.2,0,NA,63.1933333333333,34.282,0
1979,"Space",16,1704,77.4545454545455,37,18.5,679.01875,72.3061111111111,0.0217136150234742
1979,"Technic",11,2172,181,0,NA,179.214444444444,45.1975,0
1979,"Town",17,1656,92,4.49,4.49,244.461538461538,32.825,0.00271135265700483
1980,"Basic",15,1838,114.875,170.25,12.1607142857143,77.908125,26.02375,0.0926278563656148
1980,"Dacta",3,544,181.333333333333,51,25.5,NA,23.58,0.09375
1980,"Duplo",10,150,15,28,14,28.31,30.1942857142857,0.186666666666667
1980,"Fabuland",4,59,14.75,0,NA,175.3,11.39,0
1980,"Homemaker",1,26,26,4.5,4.5,3.65,30,0.173076923076923
1980,"Scala",2,82,27.3333333333333,0,NA,NA,106.16,0
1980,"Service Packs",11,75,6.81818181818182,16,16,12.752,12.6575,0.213333333333333
1980,"Space",5,526,105.2,41,20.5,342.182,68.922,0.0779467680608365
1980,"Technic",3,1529,382.25,177.5,59.1666666666667,1021.06,103.59,0.116088947024199
1980,"Town",17,2359,138.764705882353,66.25,16.5625,379.263571428571,121.846470588235,0.028083933870284
1980,"Trains",28,3965,141.607142857143,0,NA,277.820416666667,103.251785714286,0
1981,"Basic",6,1623,162.3,108,18,80.78125,29.28,0.066543438077634
1981,"Castle",3,1026,342,69,23,555.5,206.793333333333,0.0672514619883041
1981,"Dacta",2,426,213,0,NA,173.94,93.68,0
1981,"Duplo",4,141,20.1428571428571,0,NA,51.5,10.025,0
1981,"Fabuland",6,59,9.83333333333333,0,NA,131.7475,9.77333333333333,0
1981,"Service Packs",14,65,4.64285714285714,0,NA,21.4453846153846,7.522,0
1981,"Space",6,565,94.1666666666667,29.5,14.75,318.305,25.34,0.052212389380531
1981,"Technic",5,1622,324.4,20,20,302.05,48.434,0.0123304562268804
1981,"Town",14,1502,100.133333333333,55,27.5,301.216923076923,37.13,0.0366178428761651
1981,"Trains",2,501,250.5,70,70,573.2,154.51,0.139720558882236
1982,"Basic",5,1036,207.2,0,NA,197.51,65.0233333333333,0
1982,"Boats",3,296,98.6666666666667,10,10,293.783333333333,49.49,0.0337837837837838
1982,"Dacta",3,652,217.333333333333,75,75,100.59,64.97,0.115030674846626
1982,"Duplo",8,119,14.875,0,NA,NA,21.494,0
1982,"Fabuland",16,367,22.9375,13,4.33333333333333,80.171,35.510625,0.0354223433242507
1982,"Homemaker",1,231,231,0,NA,NA,105,0
1982,"Service Packs",11,145,13.1818181818182,2.25,2.25,6.96272727272727,4.54,0.0155172413793103
1982,"Space",4,430,107.5,18.5,9.25,274.536666666667,47.9233333333333,0.0430232558139535
1982,"Technic",4,953,190.6,0,NA,216.996,50.926,0
1982,"Town",10,871,87.1,0,NA,254.1,35.26,0
