Path,RGB_4,Percent-4,RGB_3,Percent-3,RGB_2,Percent-2,RGB_1,Percent-1
E:/Organized Photos/2021/2021-01-15 09-33-11.jpg,"[204.42684375105546, 194.52446213378926, 179.93852782235987]",0.090300195,"[22.7174706125976, 16.740157329338444, 16.43255469712697]",0.216584782,"[86.02567069458696, 86.16467876710631, 88.54702263307595]",0.26406834,"[130.5790922663826, 136.24052203322623, 142.10577087980778]",0.429046683
E:/Organized Photos/2021/2021-01-15 10-00-40.jpg,"[57.06806607233234, 48.722635741581506, 44.21164951181627]",0.151722835,"[124.00900210563583, 102.35029426017282, 75.26786363768831]",0.239069149,"[167.2282170219221, 149.5003283581951, 121.3679079360227]",0.282810816,"[198.28760950922404, 188.27012945818706, 171.0292904378315]",0.3263972
E:/Organized Photos/2021/2021-01-15 11-11-36.jpg,"[82.84664031620554, 75.27984189723318, 77.84822134387352]",0.100033616,"[24.746641074856043, 16.86708253358925, 11.17754318618042]",0.170547328,"[140.92118402282455, 143.79992867332385, 147.00463623395157]",0.232248931,"[181.04286878565608, 186.28068459657703, 193.5677261613692]",0.497170126
E:/Organized Photos/2021/2021-01-15 11-14-06.jpg,"[37.570699708454804, 26.07871720116618, 18.327259475218657]",0.11307282,"[88.24411134903639, 83.02301927194861, 74.53907922912207]",0.158244078,"[181.66567573747997, 179.1271438371827, 177.56780242396525]",0.341615729,"[135.96877005347596, 134.20042780748662, 134.7435294117647]",0.387067372
E:/Organized Photos/2021/2021-01-15 14-23-35.jpg,"[18.43714107923001, 12.163370967053348, 12.128499295580598]",0.088883618,"[181.35315107436284, 173.99431254581563, 165.60886470954503]",0.182059398,"[88.76613363850089, 82.59311151894809, 80.56674823397643]",0.232741791,"[126.68300268813813, 125.94533150818202, 127.02286958437082]",0.496315193
E:/Organized Photos/2021/2021-01-15 15-31-55.jpg,"[45.29400749063671, 31.34035580524345, 16.977059925093638]",0.085184923,"[120.1623347013224, 102.66393068855446, 88.51208390332877]",0.092185247,"[158.74296187683285, 146.20938416422283, 137.25058651026396]",0.276212806,"[199.27548968496313, 201.32605943248674, 206.57414165487452]",0.546417024
E:/Organized Photos/2021/2021-01-15 15-33-22.jpg,"[41.754270696452046, 29.041392904073597, 14.595269382391592]",0.084370013,"[109.77214334009466, 92.86612576064908, 79.71129141311695]",0.086938968,"[149.68140336645718, 137.34394646116405, 128.49320624619753]",0.279962461,"[190.93499366821436, 192.514563106796, 197.4837484170536]",0.548728558
E:/Organized Photos/2021/2021-01-15 15-33-46.jpg,"[45.71845783614234, 31.57347921023501, 16.892253044655035]",0.084574506,"[120.20212142941106, 103.18621243806429, 89.70520062621542]",0.093094967,"[158.99153566153385, 146.7170732170425, 137.74619524069843]",0.276245613,"[198.9442625324941, 201.4469258295244, 206.7160184942786]",0.546084914
E:/Organized Photos/2021/2021-01-15 17-11-48.jpg,"[31.71901532821534, 23.264060303680875, 18.23244618133328]",0.083734117,"[83.089300648554, 75.36773468185696, 69.15607437707263]",0.265446096,"[128.39784311336953, 125.922389343117, 125.18645962465877]",0.300444548,"[169.51319965766038, 167.9047438562174, 167.0995390634558]",0.350375239
E:/Organized Photos/2021/2021-01-15 18-00-10.jpg,"[202.49498178973883, 196.28839350460052, 188.61284903000816]",0.101701161,"[83.51550953287574, 83.50125301286874, 87.6665614714562]",0.197999229,"[25.087226565816476, 17.217501155305566, 12.457075911694202]",0.286747357,"[122.83035875888996, 130.70735964948324, 140.72815097192307]",0.413552252
